site_number,frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
18,1358,001358,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,17,72033337090,scans/001358.npy,poses/001358.npy,transforms/001358.npz,global_dem,658.8288281527425,-5503.1617291172215,0.04285090732601543,-0.004369454241025469,-0.006268870563383454,0.3810363494263768,0.9245284795761108,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
19,1359,001359,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,18,75083337249,scans/001359.npy,poses/001359.npy,transforms/001359.npz,global_dem,659.5352468344051,-5502.455051122767,0.05473255984056957,-0.004897022894857078,-0.00978643291068456,0.3818224006081556,0.9241709253657989,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
20,1360,001360,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,19,78150004075,scans/001360.npy,poses/001360.npy,transforms/001360.npz,global_dem,660.2438312437552,-5501.74404791604,0.07360822076465007,-0.005271619988110878,-0.013200119690421215,0.3817288451294926,0.9241650586659091,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
21,1361,001361,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,20,81250004237,scans/001361.npy,poses/001361.npy,transforms/001361.npz,global_dem,660.9657409281715,-5501.02865401925,0.0945371848133062,-5.137076010193843e-05,-0.013985113103240465,0.382003214468214,0.9240551704895581,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
22,1362,001362,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,21,84383337734,scans/001362.npy,poses/001362.npy,transforms/001362.npz,global_dem,661.6965274058498,-5500.300704935134,0.11828260635727916,-0.00026670705656929773,-0.011917560986125696,0.38164605798743406,0.9242316738946681,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
23,1363,001363,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,22,88466671280,scans/001363.npy,poses/001363.npy,transforms/001363.npz,global_dem,662.4121236448009,-5499.585756918119,0.1326542293730154,-0.002443230225774191,-0.005398152380646751,0.38279290082412787,0.9238151793814543,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
24,1364,001364,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,23,94116671575,scans/001364.npy,poses/001364.npy,transforms/001364.npz,global_dem,663.2246219904457,-5498.9824340922705,0.13663249070373035,-0.0034292672164005452,0.0012644068834611285,0.1681107318592343,0.9857613419257951,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
25,1365,001365,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,24,97216671736,scans/001365.npy,poses/001365.npy,transforms/001365.npz,global_dem,664.2270965832292,-5498.888735556367,0.13162010473928304,-0.008688875698325636,0.008335060721078926,-0.028060426438443767,0.9995337126230249,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
26,1366,001366,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,25,100300005231,scans/001366.npy,poses/001366.npy,transforms/001366.npz,global_dem,665.2471289406564,-5498.961463674342,0.11320580177745565,-0.01038094649522314,0.013842666067693915,-0.0322521244811152,0.9993299840455385,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
27,1367,001367,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,26,103383338725,scans/001367.npy,poses/001367.npy,transforms/001367.npz,global_dem,666.2729635039132,-5499.003510089611,0.07697534828521907,-0.010382704525477309,0.019264415108512085,-0.006990767674842599,0.9997360706329346,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
28,1368,001368,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,27,106450005551,scans/001368.npy,poses/001368.npy,transforms/001368.npz,global_dem,667.284305186348,-5499.007008550803,0.03939944297932024,-0.005984736865584665,0.018263108626292116,0.0052279016058251245,0.9998016357421875,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
29,1369,001369,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,28,109500005710,scans/001369.npy,poses/001369.npy,transforms/001369.npz,global_dem,668.287882221225,-5499.000884397348,0.0015560834811934043,-0.0032287385212701075,0.016901612083163355,0.005382199299376833,0.9998374581336975,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
30,1370,001370,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,29,112533339202,scans/001370.npy,poses/001370.npy,transforms/001370.npz,global_dem,669.2899118781241,-5498.99555702436,-0.03286202592756088,0.0012282998026536837,0.017485943655142902,-0.0014752943283944052,0.9998452663091068,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
31,1371,001371,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,30,117016672769,scans/001371.npy,poses/001371.npy,transforms/001371.npz,global_dem,670.2905071808208,-5499.000371309246,-0.06698286880790028,0.005864294809282104,0.015739189591830866,-0.0005242384256026776,0.9998587965965271,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
32,1372,001372,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,31,122966673079,scans/001372.npy,poses/001372.npy,transforms/001372.npz,global_dem,671.3020444493912,-5498.905881795091,-0.09851473094780377,0.007585376592727163,0.011955753033044173,0.15494113334036705,0.9878222346305847,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
33,1373,001373,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,32,126433339927,scans/001373.npy,poses/001373.npy,transforms/001373.npz,global_dem,672.1843737634349,-5498.377391221289,-0.1125494338856598,0.014531057509539399,0.008983528664980409,0.37085406716622915,0.9285340087722398,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
34,1374,001374,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,33,131650006866,scans/001374.npy,poses/001374.npy,transforms/001374.npz,global_dem,672.7628767034223,-5497.549204044766,-0.11351636822484906,0.01097658503640982,0.0066019623174270944,0.513048521247748,0.8582640290260316,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
35,1375,001375,curated_forward_approach,apollo14_cone_crater_blocks_forward_02,34,138100007202,scans/001375.npy,poses/001375.npy,transforms/001375.npz,global_dem,673.468641990555,-5496.828929760986,-0.12512084923737427,-0.005086358323746807,0.006263671700071042,0.2234898726011062,0.9746728539466858,645.0,-5511.0,0.0,included,os1_rev7_128ch20hz1024res_rtx
