estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
ransac,-48.7026698460361,-586.0010026703272,1748.2294662715676,-1899.7695207819343,,-0.15003825640055451,0.020348037865649565,raw_lidar_xy_decimated,7131,0.5,0.5579589360531827,1.0,,False,0.13393983500282047,131,-1899.828,solution,-587.3361948503389,1748.5488907235288,-1899.9163787765308,-0.08837877653080876,1.3728693084466883,0.14685799459653026
darces,-45.67427545198065,-542.6188281919586,1709.9386786629593,-1900.036796927452,,-0.12651995251063355,-0.05339339401980289,raw_lidar_xy_decimated,9379,0.5,1.0197061258285771,1.0,RANSAC terrain fitness improvement was below threshold,False,0.10219397299806587,189,-1899.828,solution,-543.6740153518185,1709.2273209933635,-1899.980465635776,-0.15246563577610037,1.2725760002553772,0.05633129167608786
darces,-54.850238176848805,-534.3449318045217,1702.6233228015194,-1899.5758076906204,,-0.15967741700094762,0.0013990569460549385,raw_lidar_xy_decimated,10452,0.5,2.2463555512774747,1.0,RANSAC terrain fitness improvement was below threshold,False,0.9146631240000715,202,-1899.828,solution,-535.3051337494954,1699.0717732085766,-1899.6379363253075,0.1900636746925011,3.6790613322237027,0.062128634687041995
darces,-47.375420042552385,-518.2436737684499,1679.4134342292423,-1898.983001112938,,-0.12319429797541764,-0.0157400128087625,raw_lidar_xy_decimated,10554,0.5,0.9729400443130487,1.0,RANSAC terrain fitness improvement was below threshold,False,3.5886716580025677,229,-1899.828,solution,-518.1692381773893,1677.5952571215457,-1898.9549528982318,0.8730471017681081,1.8197001544673106,0.028048214706132057
darces,-53.23833742627488,-504.48687837404634,1660.6770211696323,-1898.7163061350584,,-0.05760285538669626,-0.031198255303175652,raw_lidar_xy_decimated,8946,0.5,1.3598860685300167,1.0,RANSAC terrain fitness improvement was below threshold,False,0.16155600000274717,252,-1899.828,solution,-502.9241508482009,1659.8254670380782,-1898.696530022767,1.13146997723285,1.7796802406617882,0.01977611229131071
darces,-59.7148181494419,-498.002865979223,1657.1104965143365,-1898.706153318286,,-0.17750707027130885,-0.1258727160798298,raw_lidar_xy_decimated,8665,0.5,0.4294166997765956,1.0,RANSAC terrain fitness improvement was below threshold,False,0.09930204500051332,262,-1899.828,solution,-497.1000843802959,1651.5834628596951,-1898.6485563791102,1.179443620889856,5.600278174778459,0.05759693917570985
darces,-58.3279050583458,-491.4310901087441,1642.8836833414111,-1898.4674493074417,,-0.09082026033560783,-0.09681193448276254,raw_lidar_xy_decimated,7471,0.5,0.014064369508474783,1.0,RANSAC terrain fitness improvement was below threshold,False,0.14123482200011495,273,-1899.828,solution,-491.32452554961617,1641.9071782840776,-1898.538571015022,1.2894289849780387,0.9823024647531079,0.0711217075802324
darces,-56.870009393027885,-490.1579909660837,1639.6190501768942,-1898.4320896565914,,-0.0906980790648707,-0.052345895686288446,raw_lidar_xy_decimated,8194,0.5,1.8684965837887262,1.0,RANSAC terrain fitness improvement was below threshold,False,0.649804888998915,277,-1899.828,solution,-489.18646389721505,1638.4306311223627,-1898.3967253073845,1.4312746926155504,1.5349933858874198,0.035364349206929546
ransac,-48.85838433760739,-482.0939588908633,1623.996256224963,-1898.2490676641464,,-0.15649796130434745,0.022131027621666632,raw_lidar_xy_decimated,6362,0.5,0.9444712063584575,1.0,,False,0.1979188069999509,293,-1899.828,solution,-480.4980325978644,1624.5968454343554,-1898.0863004847058,1.7416995152941703,1.7051944555163923,0.16276717944060692
ransac,-58.54209427008383,-440.0889148793575,1552.7691281447715,-1896.2730283737183,,-0.14137841249066938,0.12404446374875391,raw_lidar_xy_decimated,7736,0.5,0.9495617163389909,1.0,,False,0.511845753997477,377,-1899.828,solution,-436.3525068444849,1552.2997584514658,-1896.2062955081142,3.6217044918858576,3.765773879570384,0.06673286560408087
darces,-59.08331902427386,-429.55294753502386,1539.2155914682867,-1896.0918655395508,,-0.06853434719878299,-0.061519358737298135,raw_lidar_xy_decimated,7020,0.5,0.2876098033464132,1.0,RANSAC terrain fitness improvement was below threshold,False,0.010117543002706952,390,-1899.828,solution,-429.7309701704363,1541.0020597226303,-1896.1269497903882,3.7010502096117897,1.7953163739287636,0.035084250837371656
darces,-59.52617833382803,-413.3410964226136,1511.4376613305844,-1895.5060168504715,,-0.05049410131470427,-0.07891543080444227,raw_lidar_xy_decimated,8711,0.5,0.0743494115752128,1.0,RANSAC terrain fitness improvement was below threshold,False,0.3902996279975923,423,-1899.828,solution,-412.6854979029223,1511.9957737347017,-1895.5134243622672,4.314575637732694,0.8609871512694144,0.00740751179569088
darces,-72.83757639295226,-398.6136053812974,1477.0489233169621,-1894.201245546341,,-0.09441827254467126,0.009681981514569601,raw_lidar_xy_decimated,7204,0.5,0.557108819621817,1.0,RANSAC terrain fitness improvement was below threshold,False,0.057437352999841096,461,-1899.828,solution,-398.29575659193654,1476.3921670924367,-1894.1868862315728,5.641113768427241,0.7296277073625311,0.014359314768171316
darces,-81.78404908750773,-385.8247716550102,1458.8670406458225,-1893.4027972221375,,-0.12251122381189412,0.006265169396215534,raw_lidar_xy_decimated,5965,0.5,1.168863010725147,1.0,RANSAC terrain fitness improvement was below threshold,False,0.003717611001775367,484,-1899.828,solution,-385.81077053518493,1457.3825240017723,-1893.5169643317445,6.311035668255537,1.4845826678964575,0.11416710960702403
ransac,-95.1021652523582,-385.8080770399796,1451.4369987314415,-1893.391153037548,,-0.07088893367715425,0.011934548721909105,raw_lidar_xy_decimated,6031,0.5,0.45820510704334083,1.0,,False,0.017598426002223277,490,-1899.828,solution,-386.0783179163933,1451.285386540734,-1893.4654506527347,6.362549347265335,0.30986511203422046,0.07429761518665146
ransac,-47.53326996048232,-370.49368533293483,1407.7899878650871,-1891.9489387273788,,-0.09913405251875876,0.027482015814022376,raw_lidar_xy_decimated,4682,0.5,0.21316575732487308,1.0,,False,0.05331818000195199,538,-1899.828,solution,-370.62116295746205,1407.1137867742098,-1891.970455480484,7.857544519516011,0.6881122437937482,0.02151675310506107
darces,-58.61629445528164,-351.3474588979734,1382.878520065415,-1892.0354998111725,,-0.09275258091806547,0.00025434203586174875,raw_lidar_xy_decimated,5184,0.5,2.0787449178278337,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03334846399957314,568,-1899.828,solution,-352.17740595401386,1382.8594539623266,-1892.0655482217555,7.7624517782445075,0.8301660268387221,0.03004841058304919
darces,-64.62789417738674,-347.31921316382704,1371.6461528927546,-1892.2879979908466,,-0.11742498859584592,-0.10039195611125902,raw_lidar_xy_decimated,7581,0.5,2.0809299175749345,1.0,RANSAC terrain fitness improvement was below threshold,False,0.05825480800194782,580,-1899.828,solution,-347.66443556251926,1371.5200681430576,-1892.393551137202,7.4344488627980905,0.36752669109187686,0.10555314635530522
darces,-62.33586513082881,-342.6386993661245,1361.327857652918,-1893.125688135624,,-0.1192075741038577,0.005225760615517924,raw_lidar_xy_decimated,5922,0.5,0.33077385053758235,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0902985950015136,591,-1899.828,solution,-342.1036747018115,1361.7487365615832,-1892.976558937106,6.851441062894143,0.6807278804209737,0.14912919851803963
darces,-59.1036340386626,-304.16954363605674,1289.4377807452904,-1894.1821253597736,,-0.09551349333384208,-0.0718274303598503,raw_lidar_xy_decimated,9612,0.5,1.1974010653622713,1.0,RANSAC terrain fitness improvement was below threshold,False,1.1505607690014585,672,-1899.828,solution,-303.2804603422394,1289.263905236986,-1894.1574670472628,5.670532952737287,0.9059259328075634,0.024658312510837277
