estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-39.654405917884866,2.1366545038048272,-6.4850769507163974,1779.2206331193447,0.06247802206169945,-35.99054828015372,darces,2.9075993961119195,-9.02362182235212,2.8197671851658517,41.359104261071856,12,solution,8.534244537353516,-6.865278720855713,0.2811279296875,6.408877563456691,1778.9395051896572
-39.34870313951132,18.245211306106558,-28.18218889463334,1779.3474229574203,0.49332051703709406,-36.21509761609807,ransac,18.208490569087108,-28.264793541102918,9.291561550660267,108.2712722829716,17,solution,12.359783172607422,-10.166851043701172,0.103271484375,18.952326036605967,1779.2441514730453
-39.01245000196923,11.750647702580657,-7.568799508541022,1779.27666336298,0.010144934772485079,-37.899938257322155,darces,10.166615504786261,-8.076488526259823,10.330892974082733,128.49590233140904,18,solution,13.143409729003906,-10.803790092468262,0.2095947265625,3.5220661748957096,1779.0670686364174
-37.964379782064675,17.75710599966054,-19.115182323143046,1779.3388929367065,0.30953665342178294,-35.70513042391258,darces,15.758399064952005,-18.385816169354726,4.438181633517068,53.65726507161864,20,solution,14.75957202911377,-12.048600196838379,0.3038330078125,7.676053208022366,1779.035059928894
-38.82994373208072,15.481240869489787,-13.160618080101491,1779.1420255303383,0.43719363188997695,-39.07629182223601,darces,14.778970784556641,-12.050620476446017,9.15119507740853,112.94193811967192,22,solution,16.350055694580078,-13.349465370178223,0.2919921875,0.889102074716958,1778.8500333428383
-39.2100647809194,16.537733315288293,-20.290680712908284,1779.1795261502266,0.1829442760909002,-38.14394614032252,darces,18.149676107078417,-20.460570372333315,10.30557905505914,127.23441289181739,23,solution,17.130788803100586,-13.996265411376953,0.2733154296875,6.3222922108817485,1778.906210720539
-38.48834984353861,21.713304616920958,-23.25273514163011,1779.0737518668175,0.28769694500320747,-39.37702566027324,darces,22.94446297799471,-22.36194589613534,7.083045699450899,91.02808535122995,30,solution,22.628347396850586,-18.482574462890625,0.127685546875,4.857132506952399,1778.9460663199425
-36.4410970674237,23.67536573083855,-22.74798696504759,1778.879088923335,0.025588552405767698,-37.60077510242478,darces,25.9302355559038,-23.568652146783705,6.608110365740001,85.98208709941035,38,solution,28.903059005737305,-23.614961624145508,-0.0653076171875,5.299096341447249,1778.9443965405226
-40.760657271785,16.427528086367786,-17.05227583011958,1779.146397292614,0.04737527054182228,-42.85559368618965,darces,18.31131522417439,-14.10893937442091,5.6694147080945845,77.55109208527415,43,solution,32.84788513183594,-26.799724578857422,-0.2008056640625,19.095572329991224,1779.3472029566765
-40.264404892057115,35.55120389129898,-44.1459986992996,1778.5072900652885,0.09893244048017774,-38.49308251212592,darces,36.99372967895629,-40.29038033586457,1.939877191718461,34.706550006433446,44,solution,33.61085510253906,-27.452526092529297,-0.2303466796875,16.80586151005156,1778.737636744976
-40.57525315197983,33.567747339176286,-37.586032787884,1778.4784851074219,0.0858282466622305,-37.91095086515157,darces,39.66743715078632,-35.783371991066986,2.734170769695211,53.41650485566859,45,solution,34.36920166015625,-28.111652374267578,-0.2572021484375,9.508218195357948,1778.7356872558594
-41.61362580263429,27.829390080438085,-3.458919294859516,1779.67673432827,0.6731964580801262,-44.764764176015035,darces,28.401803154286718,-3.654844880255979,10.108190863072258,111.24016780432103,46,solution,35.151485443115234,-28.76966094970703,-0.2763671875,26.34856207876573,1779.95310151577
-38.68392436490909,30.20390008205162,-23.95638339794091,1779.0182931423187,0.44161623690768775,-39.83823714339874,darces,30.830739873172803,-22.7347754031482,10.005730611867003,117.77664149530946,49,solution,37.52904510498047,-30.651636123657227,-0.331298828125,9.923918513780281,1779.3495919704437
-39.03412068048224,34.35016839374219,-42.40327597085241,1778.3104234933853,0.06312146659019226,-39.96840803841079,darces,36.768038408349554,-40.26501574042684,2.188212505230268,30.83362921632317,53,solution,40.66020584106445,-33.21306228637695,-0.41650390625,11.147941520878609,1778.7269273996353
-39.51097739386514,15.771692114873916,-73.62485949214258,1775.319622039795,0.016926091419860245,-37.65877418863583,ransac,18.358994052850974,-74.71734364643041,1.793578806490184,23.277457897336884,55,solution,42.241180419921875,-34.50684356689453,-0.4593505859375,47.23190638815069,1775.7789726257324
-39.3354855096039,20.911052278138758,-61.64738719831405,1778.1597400903702,0.9512682679405297,-43.07123665650257,darces,19.85385189083899,-58.350328613575165,9.336225945723099,96.56766225384919,57,solution,43.79813766479492,-35.79203414916992,-0.5557861328125,34.529957410804556,1778.7155262231827
-39.19730267146341,-4.7001110891293765,-65.84548486870275,1772.8478326797485,0.006204463583581795,-40.217646428974646,darces,-3.3903041317829903,-65.36342274056192,0.4939639242056805,8.366643377369098,67,solution,51.695159912109375,-42.22788619995117,-1.2271728515625,61.14096464876374,1774.075005531311
-39.03422124064104,6.807443208518648,13.589470839724147,1784.9819841384888,0.012463421994461338,-40.79364886671098,darces,10.213431269749158,14.772019731718467,0.39776807278043647,8.2407384795494,71,solution,54.81626892089844,-44.76652908325195,-1.5946044921875,75.56632896530071,1786.5765886306763
-39.012868813690524,42.16320678019264,-54.208260449884456,1776.8524379730225,0.30803342022131114,-36.31262891935952,darces,39.010143834608,-62.455204624322455,1.3887283967236457,19.210869296120027,75,solution,57.88648223876953,-47.35377883911133,-2.00146484375,17.15241409536026,1778.8539028167725
-44.15201787931443,17.18847452646737,-150.32811550237648,1766.275255203247,0.002854990127880396,-41.64953666866939,darces,23.979456883641845,-151.099124435812,0.04633190620739558,4.020749195474912,89,solution,68.03836822509766,-57.036163330078125,-3.6961669921875,106.25017660823158,1769.9714221954346
