cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
3,0,inf,inf,10,"[542, 584, 468, 495, 231, 547, 516, 420, 349, 695]","[9, 11, 4, 5, 0, 7, 6, 3, 1, 12]",5.609819586032699,0.17803972477929045,-48.64757127614851,-584.5197916182283,1749.9567858257049,-1899.716638326645,3081,-0.17038629426620408,raw_lidar_xy_decimated,7131,0.5,0.613057505940759,-49.26062878208927,13,1.0,145.10543214800055,131,-1899.828,solution,-587.3361948503389,1748.5488907235288,-1899.9163787765308,-0.08837877653080876,3.148697474285901,0.19974044988589412
8,0,inf,inf,9,"[495, 584, 349, 275, 478, 547, 462, 280, 542]","[4, 9, 2, 0, 3, 7, 5, 1, 10]",5.0231457451839185,0.34518479103183825,-45.67427545198065,-542.6188281919586,1709.9386786629593,-1900.036796927452,1923,-0.12651995251063355,raw_lidar_xy_decimated,9379,0.5,1.0197061258285771,-46.69398157780924,11,1.0,388.62154014000043,189,-1899.828,solution,-543.6740153518185,1709.2273209933635,-1899.980465635776,-0.15246563577610037,1.2725760002553772,0.05633129167608786
8,0,inf,inf,16,"[280, 488, 349, 504, 404, 542, 478, 547, 584, 462, 432, 537, 418, 495, 501, 516]","[0, 8, 1, 9, 2, 12, 6, 14, 15, 5, 3, 10, 4, 7, 13, 16]",7.356579160313213,0.32928178154013243,-54.850238176848805,-534.3449318045217,1702.6233228015194,-1899.5758076906204,2510,-0.15967741700094762,raw_lidar_xy_decimated,10452,0.5,2.2463555512774747,-52.603882625571316,17,1.0,479.730811079,202,-1899.828,solution,-535.3051337494954,1699.0717732085766,-1899.6379363253075,0.1900636746925011,3.6790613322237027,0.062128634687041995
6,0,inf,inf,23,"[299, 280, 404, 488, 478, 547, 542, 501, 320, 462, 418, 349, 695, 584, 386, 323, 453, 495, 317, 336, 275, 334, 504]","[1, 0, 11, 18, 15, 24, 23, 21, 2, 14, 12, 3, 27, 26, 10, 7, 19, 22, 8, 5, 4, 9, 13]",7.3233429843890265,0.28933449312665066,-47.375420042552385,-518.2436737684499,1679.4134342292423,-1898.983001112938,2929,-0.12319429797541764,raw_lidar_xy_decimated,10554,0.5,0.9729400443130487,-46.402479998239336,28,1.0,164.34761846999936,229,-1899.828,solution,-518.1692381773893,1677.5952571215457,-1898.9549528982318,0.8730471017681081,1.8197001544673106,0.028048214706132057
4,0,inf,inf,10,"[501, 299, 280, 317, 404, 495, 418, 386, 453, 479]","[10, 1, 0, 2, 4, 11, 6, 5, 8, 3]",7.999374130116668,0.32243527224272595,-53.23833742627488,-504.48687837404634,1660.6770211696323,-1898.7163061350584,2313,-0.05760285538669626,raw_lidar_xy_decimated,8946,0.5,1.3598860685300167,-51.878451357744865,12,1.0,137.55435608799962,252,-1899.828,solution,-502.9241508482009,1659.8254670380782,-1898.696530022767,1.13146997723285,1.7796802406617882,0.01977611229131071
6,0,inf,inf,9,"[386, 501, 320, 299, 280, 317, 349, 275, 453]","[7, 9, 0, 3, 1, 4, 6, 2, 5]",10.134853431778872,0.3071799518868809,-59.7148181494419,-498.002865979223,1657.1104965143365,-1898.706153318286,2698,-0.17750707027130885,raw_lidar_xy_decimated,8665,0.5,0.4294166997765956,-60.144234849218506,10,1.0,245.2113793640001,262,-1899.828,solution,-497.1000843802959,1651.5834628596951,-1898.6485563791102,1.179443620889856,5.600278174778459,0.05759693917570985
8,0,inf,inf,10,"[323, 299, 320, 404, 386, 278, 317, 280, 275, 479]","[3, 0, 1, 9, 8, 2, 6, 5, 4, 7]",8.480368209118822,0.35892127655522527,-58.3279050583458,-491.4310901087441,1642.8836833414111,-1898.4674493074417,2750,-0.09082026033560783,raw_lidar_xy_decimated,7471,0.5,0.014064369508474783,-58.34196942785428,10,1.0,326.01399347499864,273,-1899.828,solution,-491.32452554961617,1641.9071782840776,-1898.538571015022,1.2894289849780387,0.9823024647531079,0.0711217075802324
3,0,inf,inf,15,"[323, 386, 453, 299, 501, 278, 280, 537, 404, 478, 495, 275, 317, 418, 349]","[5, 10, 14, 4, 15, 3, 0, 17, 11, 13, 16, 2, 6, 8, 7]",7.861742333766804,0.18640714280433937,-56.870009393027885,-490.1579909660837,1639.6190501768942,-1898.4320896565914,2590,-0.0906980790648707,raw_lidar_xy_decimated,8194,0.5,1.8684965837887262,-58.7385059768166,19,1.0,259.5298422979995,277,-1899.828,solution,-489.18646389721505,1638.4306311223627,-1898.3967253073845,1.4312746926155504,1.5349933858874198,0.035364349206929546
3,0,inf,inf,11,"[453, 299, 278, 386, 323, 257, 336, 320, 280, 404, 317]","[11, 5, 2, 9, 4, 3, 6, 1, 0, 8, 7]",6.472198492355255,0.2147811661440953,-47.52881623131086,-480.5043701959594,1622.7308695234756,-1898.130514740944,2134,-0.1786289889260141,raw_lidar_xy_decimated,6362,0.5,2.274039312654992,-49.802855543965855,14,1.0,262.2092071019997,293,-1899.828,solution,-480.4980325978644,1624.5968454343554,-1898.0863004847058,1.7416995152941703,1.8659866733536181,0.044214256238092275
5,0,inf,inf,14,"[64, 184, 210, 475, 463, 4, 257, 278, 413, 317, 234, 505, 299, 165]","[4, 6, 7, 17, 15, 0, 8, 9, 13, 11, 10, 16, 12, 5]",9.701091404513464,0.3718368916430324,-57.66091607183585,-438.299419906954,1551.7306019307432,-1895.9602876901627,1648,-0.2654228762394233,raw_lidar_xy_decimated,7736,0.5,1.8307399145869567,-59.49165598642282,22,1.0,484.0724437360004,377,-1899.828,solution,-436.3525068444849,1552.2997584514658,-1896.2062955081142,3.6217044918858576,2.028400753769779,0.24600781795152216
4,0,inf,inf,5,"[184, 475, 4, 64, 165]","[8, 9, 0, 6, 7]",8.907388756626007,0.29311731590489154,-59.08331902427386,-429.55294753502386,1539.2155914682867,-1896.0918655395508,1624,-0.06853434719878299,raw_lidar_xy_decimated,7020,0.5,0.2876098033464132,-59.37092882762027,10,1.0,722.2800490769987,390,-1899.828,solution,-429.7309701704363,1541.0020597226303,-1896.1269497903882,3.7010502096117897,1.7953163739287636,0.035084250837371656
8,0,inf,inf,13,"[63, 425, 396, 4, 216, 187, 165, 64, 219, 475, 463, 505, 413]","[4, 11, 10, 0, 9, 7, 6, 5, 8, 12, 13, 15, 14]",7.881454832435308,0.17176245930119857,-59.52617833382803,-413.3410964226136,1511.4376613305844,-1895.5060168504715,1415,-0.05049410131470427,raw_lidar_xy_decimated,8711,0.5,0.0743494115752128,-59.451828922252815,16,1.0,463.83800174599855,423,-1899.828,solution,-412.6854979029223,1511.9957737347017,-1895.5134243622672,4.314575637732694,0.8609871512694144,0.00740751179569088
7,0,inf,inf,8,"[64, 165, 187, 63, 1, 4, 425, 196]","[5, 7, 9, 6, 0, 2, 10, 8]",3.313970688672159,0.19960506581004167,-72.83757639295226,-398.6136053812974,1477.0489233169621,-1894.201245546341,1366,-0.09441827254467126,raw_lidar_xy_decimated,7204,0.5,0.557108819621817,-72.28046757333044,11,1.0,433.7454909829994,461,-1899.828,solution,-398.29575659193654,1476.3921670924367,-1894.1868862315728,5.641113768427241,0.7296277073625311,0.014359314768171316
