frame_index,frame_id,run_id,source_sequence,source_frame_index,timestamp_ns,scan_path,pose_path,transform_path,global_frame,tx,ty,tz,qx,qy,qz,qw,stage_origin_x_m,stage_origin_y_m,stage_yaw_deg,quality_flag,sensor_config_id
17,000017,east_plateau_safe,apollo15rille_east_plateau_safe_03,17,80933337554,scans/000017.npy,poses/000017.npy,transforms/000017.npz,global_dem,-661.6300773876078,1830.1652286046024,0.2585449409827106,0.017822887065222094,-0.02084537715390267,-0.48836713736944226,0.8722071738328849,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
18,000018,east_plateau_safe,apollo15rille_east_plateau_safe_03,18,83983337713,scans/000018.npy,poses/000018.npy,transforms/000018.npz,global_dem,-661.1043806014461,1829.3105952928302,0.2768554889670327,0.010955493542938776,-0.02300086726857531,-0.4889501572141095,0.8719396085890477,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
19,000019,east_plateau_safe,apollo15rille_east_plateau_safe_03,19,87033337872,scans/000019.npy,poses/000019.npy,transforms/000019.npz,global_dem,-660.5806426623766,1828.457133093063,0.30981447444959453,-0.0038305827245114395,-0.028257592869719673,-0.4895513428925448,0.8715080709628029,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
20,000020,east_plateau_safe,apollo15rille_east_plateau_safe_03,20,90100004699,scans/000020.npy,poses/000020.npy,transforms/000020.npz,global_dem,-660.0516309038767,1827.591233073062,0.34704592088533975,-0.005526945664668272,-0.011142065174751548,-0.4905367167699473,0.8713317604424975,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
21,000021,east_plateau_safe,apollo15rille_east_plateau_safe_03,21,93166671525,scans/000021.npy,poses/000021.npy,transforms/000021.npz,global_dem,-659.5276183061468,1826.7255276024123,0.363891625132386,-0.00034850906004431885,-0.010478507045676216,-0.49025105806156616,0.8715182037691719,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
22,000022,east_plateau_safe,apollo15rille_east_plateau_safe_03,22,96233338352,scans/000022.npy,poses/000022.npy,transforms/000022.npz,global_dem,-659.0068443866661,1825.867026187449,0.3984375246828126,-0.002346469104261145,-0.030935950742830332,-0.4885983261760984,0.8719570727348308,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
23,000023,east_plateau_safe,apollo15rille_east_plateau_safe_03,23,99333338513,scans/000023.npy,poses/000023.npy,transforms/000023.npz,global_dem,-658.4757555254266,1824.9989041063925,0.4565429945590799,-0.0076409314545014,-0.027327547222665304,-0.4890440970003926,0.871797391896977,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
24,000024,east_plateau_safe,apollo15rille_east_plateau_safe_03,24,102433338675,scans/000024.npy,poses/000024.npy,transforms/000024.npz,global_dem,-657.9423635406085,1824.128022091937,0.503662136314047,-0.008930595615973983,-0.017082371279298833,-0.48933836228359495,0.8718809576146445,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
25,000025,east_plateau_safe,apollo15rille_east_plateau_safe_03,25,105550005504,scans/000025.npy,poses/000025.npy,transforms/000025.npz,global_dem,-657.411412961949,1823.2546815050014,0.5494385046339384,-0.01360768495772529,-0.022518410427829035,-0.4912528480836753,0.8706195445494965,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
26,000026,east_plateau_safe,apollo15rille_east_plateau_safe_03,26,108700005669,scans/000026.npy,poses/000026.npy,transforms/000026.npz,global_dem,-656.8800904499484,1822.371624884161,0.6094970995278542,-0.015238049474150637,-0.03427311587533387,-0.49170585387152005,0.8699531646272107,-670.6,1844.9,-58.85502029060547,included,os1_rev7_128ch20hz1024res_rtx
