resolution,total_sites,solved_sites,minimum_xy_error_m,p10_xy_error_m,p25_xy_error_m,median_xy_error_m,mean_xy_error_m,std_xy_error_m,p75_xy_error_m,p90_xy_error_m,maximum_xy_error_m,darces_selected,ransac_selected,moga_selected
0p25m,28,0,,,,,,,,,,0,0,0
0p5m,28,7,1.8274952997629508,1.92161152331965,2.4430811288214964,4.1972293321164855,244.15796223394798,462.5875622998126,176.3135927273269,731.4217807989301,1345.5676632934599,0,5,2
1m,28,16,0.2691737727989852,1.4428772393647664,2.303068063661791,225.31761288250618,344.9339180094661,421.88851554890243,596.4214566502671,904.1007401842153,1432.6203524880948,0,9,7
2m,28,18,1.5331250536657965,2.461338786683948,3.032430713112965,262.30863124698567,291.0983676480497,268.058630492063,494.7700540085649,683.9979792207275,718.312309535489,1,12,5
5m,28,21,1.0333819611152466,2.146322005935037,3.5306639220885203,199.7097176252308,385.59764782106447,450.67092099054827,771.9166526699364,1091.1288554040473,1400.4025537983975,2,10,9
10m,28,17,0.46791885673236233,4.000695960087103,7.015112439433645,498.3051487655274,467.9180013786578,407.5462335786905,774.5559689328395,958.1979170136646,1152.7303182048393,2,9,6
