estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
,,,,,,none,,,,,2,feature_pose_unavailable,0.9304230809211731,-0.2381262630224228,-0.3092041015625,,
-42.90591292387345,-26.091831163111074,5.86453641562644,1776.1067454516888,0.3901749913905754,-45.73273189697621,darces,-30.551601546306262,9.68577103711155,1.5649743991504401,27.861002165525168,6,solution,3.7302491664886475,-3.090923309326172,0.2786865234375,31.137705985996252,1775.8280589282513
,,,,,,none,,,,,7,feature_pose_unavailable,4.510462284088135,-3.7341771125793457,0.3763427734375,,
,,,,,,none,,,,,9,feature_pose_unavailable,6.133005142211914,-4.976420879364014,0.4110107421875,,
,,,,,,none,,,,,14,feature_pose_unavailable,10.047952651977539,-8.223517417907715,0.2745361328125,,
,,,,,,none,,,,,18,feature_pose_unavailable,13.143409729003906,-10.803790092468262,0.2095947265625,,
,,,,,,none,,,,,26,feature_pose_unavailable,19.473289489746094,-15.904989242553711,0.2159423828125,,
,,,,,,none,,,,,35,feature_pose_unavailable,26.538867950439453,-21.722379684448242,-0.051025390625,,
,,,,,,none,,,,,36,feature_pose_unavailable,27.270973205566406,-22.418659210205078,-0.204345703125,,
,,,,,,none,,,,,37,feature_pose_unavailable,28.076244354248047,-23.026575088500977,-0.0062255859375,,
,,,,,,none,,,,,39,feature_pose_unavailable,29.70754623413086,-24.237674713134766,-0.0882568359375,,
,,,,,,none,,,,,56,feature_pose_unavailable,43.00527572631836,-35.17405700683594,-0.5050048828125,,
,,,,,,none,,,,,63,feature_pose_unavailable,48.55084228515625,-39.665557861328125,-0.907958984375,,
,,,,,,none,,,,,69,feature_pose_unavailable,53.26218032836914,-43.503662109375,-1.403564453125,,
,,,,,,none,,,,,73,feature_pose_unavailable,56.36448669433594,-46.037200927734375,-1.7916259765625,,
,,,,,,none,,,,,86,feature_pose_unavailable,65.88546752929688,-54.93941879272461,-3.305419921875,,
,,,,,,none,,,,,100,feature_pose_unavailable,75.8811264038086,-64.86319732666016,-5.185791015625,,
,,,,,,none,,,,,108,feature_pose_unavailable,81.5277099609375,-70.53141784667969,-6.4033203125,,
,,,,,,none,,,,,110,feature_pose_unavailable,82.96772766113281,-71.939697265625,-6.697021484375,,
,,,,,,none,,,,,111,feature_pose_unavailable,83.66817474365234,-72.64999389648438,-6.852783203125,,
,,,,,,none,,,,,117,feature_pose_unavailable,87.90911865234375,-76.9205322265625,-7.7613525390625,,
,,,,,,none,,,,,118,feature_pose_unavailable,88.6224365234375,-77.63245391845703,-7.911865234375,,
,,,,,,none,,,,,119,feature_pose_unavailable,89.33837127685547,-78.34147644042969,-8.0640869140625,,
,,,,,,none,,,,,128,feature_pose_unavailable,95.68138122558594,-84.72140502929688,-9.4215087890625,,
,,,,,,none,,,,,131,feature_pose_unavailable,97.81111907958984,-86.84778594970703,-9.8551025390625,,
,,,,,,none,,,,,137,feature_pose_unavailable,102.05819702148438,-91.08348846435547,-10.766845703125,,
,,,,,,none,,,,,142,feature_pose_unavailable,105.6889877319336,-94.4383773803711,-11.5582275390625,,
,,,,,,none,,,,,144,feature_pose_unavailable,107.00106811523438,-95.96306610107422,-11.79443359375,,
,,,,,,none,,,,,149,feature_pose_unavailable,110.53009796142578,-99.51815795898438,-12.5223388671875,,
,,,,,,none,,,,,154,feature_pose_unavailable,114.07598876953125,-103.0728759765625,-13.2396240234375,,
,,,,,,none,,,,,158,feature_pose_unavailable,116.89424133300781,-105.89878845214844,-13.8021240234375,,
,,,,,,none,,,,,162,feature_pose_unavailable,119.73246002197266,-108.72893524169922,-14.3572998046875,,
,,,,,,none,,,,,177,feature_pose_unavailable,130.2397003173828,-119.41422271728516,-16.50634765625,,
,,,,,,none,,,,,179,feature_pose_unavailable,131.7013397216797,-120.80044555664062,-16.604736328125,,
,,,,,,none,,,,,180,feature_pose_unavailable,132.443603515625,-121.47786712646484,-16.7325439453125,,
,,,,,,none,,,,,187,feature_pose_unavailable,137.41680908203125,-126.4205322265625,-17.5716552734375,,
,,,,,,none,,,,,202,feature_pose_unavailable,148.0821075439453,-137.08285522460938,-19.1424560546875,,
,,,,,,none,,,,,227,feature_pose_unavailable,153.11949157714844,-154.1670684814453,-20.012451171875,,
,,,,,,none,,,,,230,feature_pose_unavailable,150.73480224609375,-156.0093536376953,-19.86669921875,,
,,,,,,none,,,,,231,feature_pose_unavailable,149.94110107421875,-156.61767578125,-19.813232421875,,
,,,,,,none,,,,,238,feature_pose_unavailable,144.2786102294922,-160.8332977294922,-19.3150634765625,,
-144.71938619452595,-25.779447703375563,-15.046301012340747,1758.1564197540283,0.3178070688025841,-148.03170321175696,darces,-27.797965751971876,-16.099404447122698,1.6767664149671102,27.16212293789272,241,solution,141.84327697753906,-162.63043212890625,-19.09619140625,223.3348463336729,1777.2526111602783
,,,,,,none,,,,,250,feature_pose_unavailable,134.46969604492188,-167.83547973632812,-18.2371826171875,,
,,,,,,none,,,,,253,feature_pose_unavailable,132.215087890625,-169.86122131347656,-17.94970703125,,
