resolution,site,truth_x_m,truth_y_m,truth_z_m,darces_status,darces_available,darces_source,darces_x_m,darces_y_m,darces_z_m,darces_heading_deg,darces_xy_error_m,darces_z_error_m,darces_heading_error_deg,ransac_status,ransac_available,ransac_source,ransac_x_m,ransac_y_m,ransac_z_m,ransac_heading_deg,ransac_xy_error_m,ransac_z_error_m,ransac_heading_error_deg,moga_status,moga_available,moga_source,moga_x_m,moga_y_m,moga_z_m,moga_heading_deg,moga_xy_error_m,moga_z_error_m,moga_heading_error_deg,darces_to_ransac_error_reduction_m,darces_to_ransac_result,ransac_to_moga_error_reduction_m,ransac_to_moga_result,darces_to_moga_error_reduction_m,darces_to_moga_result,best_available_stage
0p25m,1696,-14.69383060942232,727.4268798108656,-1894.8383745321753,solution,True,,-14.780538318930608,727.829239437448,-1894.7609323635697,126.14277728830989,0.4115962779128749,0.07744216860555753,1.9655694503745735,solution,True,darces,-14.780538318930608,727.829239437448,-1894.7609323635697,126.14277728830989,0.4115962779128749,0.07744216860555753,1.9655694503745735,solution,True,darces,-16.170153317596856,732.0588040087964,-1894.7609323635697,124.1885474903233,4.861507020878321,0.07744216860555753,0.01133965238799872,0.0,unchanged,-4.449910742965446,worsened,-4.449910742965446,worsened,DARCES
0p25m,1873,-118.08366743367412,869.7677573222866,-1894.9561725715687,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1895,-129.04356805560678,889.1612505681514,-1894.8127399793661,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1900,-130.99260387561037,893.8898881912979,-1894.6861530712554,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1916,-136.9252826600558,909.03081814703,-1894.6246296527527,skipped_insufficient_features,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,1925,-136.77751688541014,918.1550246960771,-1894.1191364994163,no_solution,False,,,,,,,,,darces_unavailable,False,none,,,,,,,,feature_pose_unavailable,False,none,,,,,,,,,not_comparable,,not_comparable,,not_comparable,none
0p25m,2013,-156.37749564604286,1003.7188667422963,-1894.115718635322,solution,True,,-155.68160998237707,1002.6067370609268,-1894.1268208026886,124.77994027029294,1.311902925173463,0.011102167366516369,3.049715687412686,solution,True,darces,-155.68160998237707,1002.6067370609268,-1894.1268208026886,124.77994027029294,1.311902925173463,0.011102167366516369,3.049715687412686,solution,True,darces,-155.39185606657603,1003.8745887978758,-1894.1268208026886,121.75432119060272,0.9978650906838423,0.011102167366516369,0.0240966077224619,0.0,unchanged,0.31403783448962075,improved,0.31403783448962075,improved,MOGA
0p25m,2016,-157.91606996087484,1006.3088935405793,-1894.2001912949233,solution,True,,-156.98091028186238,1004.8971207077238,-1894.248056769371,118.53361780061745,1.6934066720193053,0.04786547444768985,1.61174912364757,solution,True,darces,-156.98091028186238,1004.8971207077238,-1894.248056769371,118.53361780061745,1.6934066720193053,0.04786547444768985,1.61174912364757,solution,True,darces,-157.25092154817276,1005.2232385632535,-1894.248056769371,120.12713744025321,1.273212135000455,0.04786547444768985,0.018229484011817752,0.0,unchanged,0.42019453701885023,improved,0.42019453701885023,improved,MOGA
0p25m,2039,-169.67986465904033,1026.5955141987897,-1893.4068563601793,solution,True,,-169.56738775124148,1025.6501040451406,-1893.3822526931763,119.61102157131734,0.9520774198619175,0.024603667003020746,0.49822943837926914,solution,True,darces,-169.56738775124148,1025.6501040451406,-1893.3822526931763,119.61102157131734,0.9520774198619175,0.024603667003020746,0.49822943837926914,solution,True,darces,-168.29974835300257,1026.0278723108265,-1893.3822526931763,120.11258768119988,1.4922929776561091,0.024603667003020746,0.003336671503294014,0.0,unchanged,-0.5402155577941916,worsened,-0.5402155577941916,worsened,DARCES
0p25m,2045,-172.57985875494103,1031.9695375288288,-1893.2894247264512,solution,True,,-172.12381180025778,1030.9034210314135,-1893.2986266613007,111.23304160241825,1.1595616460270828,0.009201934849443205,0.6286473801712305,solution,True,darces,-172.12381180025778,1030.9034210314135,-1893.2986266613007,111.23304160241825,1.1595616460270828,0.009201934849443205,0.6286473801712305,solution,True,darces,-174.32912134945488,1032.2222998307775,-1893.2986266613007,110.58588445827726,1.7674298871105822,0.009201934849443205,0.01850976396972438,0.0,unchanged,-0.6078682410834995,worsened,-0.6078682410834995,worsened,DARCES
