cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,feature_count_npz,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,log10_hypotheses,median_abs_elevation_angle_deg,median_feature_range_m,median_sigma_z_m,moga_delta_error_m,moga_xy_error_m,overlap,profile,ransac_delta_error_m,ransac_xy_error_m,runtime_s,selected_fraction,site,status,terrain_mae_m,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
2,0,inf,inf,3,"[1302, 1254, 1159]","[3, 0, 2]",7.29722139622592,1.2902949290792645,2.7569968446673943,-487.9683589096985,153.74051658188114,12.819910764694214,43,4,-0.52033410783081,raw_lidar_xy_decimated,13278,0.25,3.0292007219057666,-0.27220387723835904,4,1.6334684555795866,1.9079652102280602,27.11666328127793,0.5333988198527562,0.742571023351843,512.3524632271403,1.0,0p5m,0.0,511.6098922037885,37.95364960100051,0.75,1,solution,0.52033410783081,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,511.6098922037885,13.31556624174118
2,0,inf,inf,4,"[741, 740, 739, 604]","[2, 1, 3, 0]",3.2066308048008136,0.7465466814422556,2.6593365130541926,10.85120334429066,4.881447955015837,-0.29149359464645386,375,5,-0.2678664873762068,raw_lidar_xy_decimated,11900,0.25,4.591211261619435,-1.9318747485652559,5,2.574031267727719,1.447505289870262,44.54913018230547,0.5157161985182257,0.242323003402924,5.958981904291052,1.0,0p5m,0.0,5.716658900888128,90.3629703509996,0.8,2,solution,0.2678664873762068,12.267229080200195,-0.6570590734481812,-0.8115395307540894,5.716658900888128,0.5200459361076355
5,0,inf,inf,5,"[741, 740, 739, 604, 727]","[3, 2, 5, 0, 1]",4.781435963061031,0.2445065817043165,-43.07203560410414,21.078462617775383,-9.524559348098322,-0.03548252582550049,467,6,-0.17195907525869045,raw_lidar_xy_decimated,23966,0.25,2.3538385602182927,-40.71819704388585,6,2.6693168805661123,2.389576566421461,38.72791088656137,0.5435368578694377,1.0682678920490587,3.9700744773346064,1.0,0p5m,0.0,2.9018065852855477,158.94674383600068,0.8333333333333334,3,solution,0.17195907525869045,23.901281356811523,-10.196999549865723,-0.5373302102088928,2.9018065852855477,0.5018476843833923
,,,,,,,,,,,,,,1,,,,,,-64.79133493705918,1,0.0,3.653861879102606,58.07000086102978,0.5932518329619026,nan,,,0p5m,nan,nan,,0.0,4,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-147.34555813717074,2,0.0,4.367523304842845,41.33559375138249,0.6292435227729908,nan,,,0p5m,nan,nan,,0.0,5,skipped_insufficient_features,nan,,,,,
3,0,inf,inf,5,"[739, 741, 740, 604, 727]","[4, 5, 6, 0, 7]",7.6935626839935445,0.3770972603082187,-151.92763073717032,-2.549063190250422,-57.47054106874324,0.02948176860809326,1968,9,-0.23287467108544488,raw_lidar_xy_decimated,23580,0.25,2.6706144947134476,-149.25701624245687,9,3.2940250940953226,1.7041126219962646,70.71156199660703,0.5216591532092438,-0.23822689485158155,1.9843359249471655,1.0,0p5m,0.0,2.222562819798747,242.70647412599828,0.5555555555555556,6,solution,0.23287467108544488,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,2.222562819798747,0.48381155729293823
,,,,,,,,,,,,,,1,,,,,,-109.2759993649763,1,0.0,10.451889848994748,32.11113514032165,1.0491594595667093,nan,,,0p5m,nan,nan,,0.0,7,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-114.39735521942477,1,0.0,10.222766867414975,22.92651303622075,1.0310435068539778,nan,,,0p5m,nan,nan,,0.0,8,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-104.79089921902104,1,0.0,10.030304970952919,28.91582611650582,1.015921320266657,nan,,,0p5m,nan,nan,,0.0,9,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-111.72540843703277,1,0.0,9.668064504773367,39.46675816430835,0.9877039787931645,nan,,,0p5m,nan,nan,,0.0,10,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-110.5384072461038,1,0.0,9.101718006622189,45.44914740674461,0.9442666325374518,nan,,,0p5m,nan,nan,,0.0,11,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-95.71127683719807,1,0.0,6.001355425919427,71.4186600266345,0.7254641379292855,nan,,,0p5m,nan,nan,,0.0,12,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-99.79358424542976,2,0.0,4.382047325371104,101.31065132276223,0.6299274315350255,nan,,,0p5m,nan,nan,,0.0,13,skipped_insufficient_features,nan,,,,,
2,0,inf,inf,3,"[108, 90, 78]","[2, 1, 3]",5.233364571229779,0.8961732250970685,-133.53427010617455,926.5289102118816,224.31886526185608,-16.959826827049255,166,4,-1.0925537563393073,raw_lidar_xy_decimated,12648,0.25,1.5933087400546526,-131.9409613661199,4,2.220108088040055,1.7522698652794255,73.14459304555558,0.5308747833368277,1.5886526469444107,1077.0172892915127,0.9796015180265655,0p5m,0.0,1075.4286366445683,46.880606312000964,0.75,14,solution,1.0925537563393073,-50.64036178588867,-224.77685546875,3.8478145599365234,1075.4286366445683,20.80764138698578
2,0,inf,inf,4,"[1217, 1154, 1204, 1109]","[6, 2, 4, 0]",4.8661135813589365,0.5199836269129314,153.25282613278853,-301.2200602507534,866.6087513337355,11.062024116516113,203,7,-0.3931531351047504,raw_lidar_xy_decimated,15144,0.25,4.803917924596419,148.4489082081921,7,2.307496037913213,2.363655371238323,37.069192060254025,0.5409202728882635,2.24267777368118,908.6049032503154,1.0,0p5m,0.0,906.3622254766342,130.8292300129997,0.5714285714285714,15,solution,0.3931531351047504,-16.422508239746094,6.153733253479004,0.1715155839920044,906.3622254766342,10.890508532524109
,,,,,,,,,,,,,,2,,,,,,-138.39500865476546,2,0.0,5.636115512949431,21.68705128071938,0.7038512462527085,nan,,,0p5m,nan,nan,,0.0,16,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,12052,0.25,,-143.02059009636423,4,0.0,6.400603866231348,25.652030072700782,0.7525574577763727,nan,,,0p5m,nan,nan,17.710767239999768,0.0,17,no_solution,nan,,,,,
2,0,inf,inf,4,"[170, 156, 158, 152]","[3, 2, 1, 0]",10.611370585426378,0.602848423002052,-137.70442918972896,890.0251051700117,593.0945434229815,-15.860376358032227,51,4,-0.43280997883295924,raw_lidar_xy_decimated,13160,0.25,1.4193998508196728,-139.12382904054863,4,1.7075701760979363,3.0976652081460703,28.381366079928938,0.5710212028869122,-4.68270131010263,1345.8598558223373,0.9769756838905775,0p5m,-4.974893838980051,1345.5676632934599,17.245630866000283,1.0,18,solution,0.43280997883295924,-131.5979461669922,-290.22393798828125,5.277122974395752,1350.54255713244,21.13749933242798
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,13439,0.25,,-163.07943097450712,3,0.0,2.5029684739846996,31.829624565803474,0.5456833647025058,nan,,,0p5m,nan,nan,5.013370507000218,0.0,19,no_solution,nan,,,,,
3,0,inf,inf,5,"[926, 955, 925, 890, 856]","[1, 4, 3, 0, 2]",6.413684314991702,0.8720215601476157,-138.68713849204352,-190.51039558494875,-335.63909215302226,7.445396423339844,581,6,-0.14077297570169045,raw_lidar_xy_decimated,19907,0.25,1.6671312998891779,-137.02000719215434,6,2.7641761323903307,4.166118882982894,39.212390826391555,0.6185855484356311,2.8449460079932116,7.042175340109697,1.0,0p5m,0.0,4.1972293321164855,121.79812125399985,0.8333333333333334,20,solution,0.14077297570169045,-194.00518798828125,-337.96356201171875,6.880199909210205,4.1972293321164855,0.5651965141296387
,,,,,,,,,,,,,,2,,,,,,-139.50755383711078,2,0.0,6.096352618614215,21.314003069566414,0.7410373524630686,nan,,,0p5m,nan,nan,,0.0,21,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,22001,0.25,,-154.6185220563164,3,0.0,4.215173951279424,29.67532645144784,0.6211267462488049,nan,,,0p5m,nan,nan,6.047192353000355,0.0,22,no_solution,nan,,,,,
,,,,,,,,,,,,,,4,,raw_lidar_xy_decimated,15248,0.25,,-158.94227573393476,4,0.0,2.4967748859363916,48.925542052098706,0.5455120932568917,nan,,,0p5m,nan,nan,16.986588326000856,0.0,23,no_solution,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-138.21486385709562,1,0.0,6.761148915044966,144.40611136652078,0.775488803426068,nan,,,0p5m,nan,nan,,0.0,24,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,116.45158980740251,1,0.0,6.047279658236248,143.17166269901318,0.7284056035983988,nan,,,0p5m,nan,nan,,0.0,25,skipped_insufficient_features,nan,,,,,
