abs_elevation_angle_deg,darces_status,feature,profile,range_m,selected,sigma_z_m,site
2.9115452369960755,skipped_insufficient_features,0,0p25m,22.20149206697604,0,0.6288904239264997,1
6.533687887660957,skipped_insufficient_features,0,0p25m,6.993300365349683,0,0.9939084953171765,2
1.6762890906775467,skipped_insufficient_features,0,0p25m,35.11810430532947,0,0.5460541536654799,3
2.914730964181463,skipped_insufficient_features,1,0p25m,19.919368714896564,0,0.6291441014489846,3
3.6441800508222513,skipped_insufficient_features,0,0p25m,58.2250483039731,0,0.6914948490220586,4
1.663854079451724,skipped_insufficient_features,0,0p25m,39.4988132733124,0,0.5454013620760564,6
1.4937688374625668,skipped_insufficient_features,1,0p25m,22.666743259674515,0,0.5368899620465925,6
10.328296148034953,skipped_insufficient_features,0,0p25m,32.506249399154,0,1.455391044867778,7
10.253313216142475,skipped_insufficient_features,0,0p25m,22.848003195027786,0,1.4458735342406228,8
9.84547061219815,skipped_insufficient_features,0,0p25m,29.45600532998322,0,1.3943373967939061,9
9.902986152434568,skipped_insufficient_features,0,0p25m,38.51663601614243,0,1.4015811545290247,10
9.087863748937597,skipped_insufficient_features,0,0p25m,45.519569967213,0,1.2997009586855006,11
5.989588194953643,skipped_insufficient_features,0,0p25m,71.55963422209479,0,0.9323184231618896,12
4.368185580177369,skipped_insufficient_features,0,0p25m,101.68164165669238,0,0.7604075548851208,13
3.161142372889459,skipped_insufficient_features,0,0p25m,32.30179948547759,0,0.6492860387973063,15
2.334849293284221,skipped_insufficient_features,1,0p25m,36.94802092128887,0,0.5861005495028886,15
5.014870271239147,skipped_insufficient_features,0,0p25m,25.397465424722995,0,0.8265170314528575,16
8.758677441591535,skipped_insufficient_features,0,0p25m,22.35578784118332,0,1.2590607243216516,17
0.02161663975124253,skipped_insufficient_features,1,0p25m,27.113764954354828,0,0.5000080066380449,17
3.7665719944396363,no_solution,0,0p25m,31.44886722920239,0,0.7027044937609181,18
6.67744565694357,no_solution,1,0p25m,17.50803387019799,0,1.0104354469967227,18
2.4011466836452917,no_solution,2,0p25m,25.559367167439806,0,0.5906827924686999,18
2.508168158776956,skipped_insufficient_features,0,0p25m,33.91395361794316,0,0.5982732328164384,19
6.056282047049264,skipped_insufficient_features,1,0p25m,11.125702225028315,0,0.9397809222339998,19
4.193706127239546,no_solution,0,0p25m,44.93363161374785,0,0.7432570218966035,20
4.604656874679428,no_solution,1,0p25m,39.459235294161495,0,0.7841399383712973,20
4.062854091374963,no_solution,2,0p25m,38.715710635348024,0,0.7306094083972192,20
4.11350149497817,no_solution,3,0p25m,35.8717333007481,0,0.7354822694379625,20
8.05532483101096,skipped_insufficient_features,0,0p25m,18.729155079714623,0,1.1733114583647153,21
4.168426294234943,skipped_insufficient_features,1,0p25m,23.98762701894458,0,0.7407988919433768,21
6.427515547114746,skipped_insufficient_features,0,0p25m,27.3889804483482,0,0.9817677802707336,22
4.274833252397912,skipped_insufficient_features,1,0p25m,29.26014781234025,0,0.751191836742214,22
4.0912224770648375,skipped_insufficient_features,0,0p25m,45.379304203568395,0,0.7333352260641991,23
1.849582829827084,skipped_insufficient_features,1,0p25m,21.445424920014993,0,0.5555699007961585,23
1.3672772062406002,skipped_insufficient_features,0,0p25m,30.553743633145842,0,0.5310787450961859,26
5.34188840503267,skipped_insufficient_features,0,0p25m,16.191239915460457,0,0.8612782590053436,27
3.9092676580148376,solution,0,0p5m,16.4354799138936,1,0.6055939886576938,1
2.898151382219652,solution,1,0p5m,22.262636860893185,0,0.5604225627297409,1
0.9177790382364687,solution,2,0p5m,69.7719499512519,1,0.5063750769757714,1
0.1729825638357666,solution,3,0p5m,31.97068970166268,1,0.5002278259080772,1
2.3235425591742023,solution,0,0p5m,102.9690487476698,1,0.5395921735408864,2
4.429264039413224,solution,1,0p5m,10.32593821403169,1,0.6324553410812099,2
1.447505289870262,solution,2,0p5m,31.47419578003543,1,0.5157161985182257,2
0.9899909423575078,solution,3,0p5m,44.54913018230547,1,0.5074103246287182,2
0.3541906585557327,solution,4,0p5m,60.026036017714844,0,0.5009544774828927,2
3.56829028271768,solution,0,0p5m,86.43277734748548,1,0.5892506253665244,3
1.6716431279223614,solution,1,0p5m,57.31600997976045,1,0.5208575472912801,3
6.773361124713016,solution,2,0p5m,9.519716382329886,1,0.776315209290802,3
1.8510930350695685,solution,3,0p5m,32.521146966243364,1,0.525464370370893,3
2.9280600977733537,solution,4,0p5m,19.827380058898353,0,0.5616093453679825,3
1.2980466458988913,solution,5,0p5m,44.93467480687937,1,0.5126751702648092,3
3.653861879102606,skipped_insufficient_features,0,0p5m,58.07000086102978,0,0.5932518329619026,4
4.21426477855112,skipped_insufficient_features,0,0p5m,58.14314232994292,0,0.6210794221199085,5
4.520781831134569,skipped_insufficient_features,1,0p5m,24.52804517282207,0,0.637407623426073,5
4.310171374452364,solution,0,0p5m,78.89312390823423,1,0.6261084620272166,6
2.346481947130664,solution,1,0p5m,79.2346199587024,0,0.5403492810789537,6
2.5507534650126225,solution,2,0p5m,70.71156199660703,0,0.547370239704407,6
2.2055434429922456,solution,3,0p5m,79.53379784720455,0,0.5357996983013301,6
1.670372622273951,solution,4,0p5m,39.34621964051947,1,0.520826470480418,6
1.7041126219962646,solution,5,0p5m,38.26388636821932,1,0.5216591532092438,6
1.244249498194558,solution,6,0p5m,52.355754220524794,1,0.5116576942130444,6
0.4332810553347059,solution,7,0p5m,118.59437170456277,1,0.5014276807721796,6
1.446814959266107,solution,8,0p5m,23.81438640821972,0,0.5157014335214007,6
10.451889848994748,skipped_insufficient_features,0,0p5m,32.11113514032165,0,1.0491594595667093,7
10.222766867414975,skipped_insufficient_features,0,0p5m,22.92651303622075,0,1.0310435068539778,8
10.030304970952919,skipped_insufficient_features,0,0p5m,28.91582611650582,0,1.015921320266657,9
9.668064504773367,skipped_insufficient_features,0,0p5m,39.46675816430835,0,0.9877039787931645,10
9.101718006622189,skipped_insufficient_features,0,0p5m,45.44914740674461,0,0.9442666325374518,11
6.001355425919427,skipped_insufficient_features,0,0p5m,71.4186600266345,0,0.7254641379292855,12
4.4033760719507145,skipped_insufficient_features,0,0p5m,101.1465520915073,0,0.6310662053434071,13
4.360718578791495,skipped_insufficient_features,1,0p5m,101.47475055401713,0,0.6287886577266439,13
2.8487869057540265,solution,0,0p5m,134.45677744167455,0,0.5584852098336824,14
6.120358083064784,solution,1,0p5m,17.467827569563422,1,0.73310919412035,14
