estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
-100.62263871348227,-210.9888012934732,1129.536308156037,-1894.587448477745,0.1269229297596005,-101.61620024400506,ransac,-211.384295691438,1130.4508313431706,1.3547642706231142,7.191346305571186,871,-1899.828,solution,-210.87701200501743,1128.7843554421856,-1894.6749228948702,5.153077105129903,0.7602168959460286,0.08747441712512227
-48.721521920762065,-192.40892495051233,1066.3048726348306,-1894.3528790473938,0.006012459396347555,-48.16093379929029,darces,-192.23852308480085,1066.1633536703785,0.010990075449477886,0.207604980019209,941,-1899.828,solution,-192.21096355920315,1066.7065973459908,-1894.4229696930786,5.40503030692147,0.4478520470040774,0.07009064568478607
-74.78532942512149,-175.33020831303813,1037.92451442602,-1893.3664045929909,0.022526858659346814,-75.10609934581106,darces,-173.8822234215853,1038.3376234105099,0.42497877803326667,2.605780753606242,975,-1899.828,solution,-174.12990780152217,1037.857904170406,-1893.3995321555674,6.428467844432486,1.2021473470828967,0.03312756257651017
-57.65544348355555,-167.93720986907405,1022.9450598817047,-1893.3733478486538,0.05627804349524206,-57.531717099072196,darces,-167.4824686135306,1023.835794298123,0.2667464802320667,1.5595821628905737,991,-1899.828,solution,-167.59472048422742,1023.0421695495714,-1893.4251669024616,6.402833097538377,0.3559905424668202,0.05181905380777607
-66.49967912715101,-149.2798252926462,966.1963945823692,-1894.0791119337082,0.05804688307943501,-64.1470129770007,darces,-147.08572717769962,966.5252660658688,1.1399172796511206,8.639713860446012,1053,-1899.828,solution,-148.96269927511116,964.6644236579679,-1894.1719930019128,5.656006998087141,1.5644500069381146,0.09288106820463327
-75.11169793185687,-138.23984114137187,936.5460537277107,-1893.9151356518269,0.010931399285299157,-74.94238108514655,ransac,-138.18742837733447,936.5372136890551,0.2249382512468039,1.1613647406385799,1084,-1899.828,solution,-137.88139935203117,935.1521560029894,-1893.9378621056023,5.89013789439761,1.4392468111234769,0.02272645377547633
-93.4189103015436,-135.98341984018316,926.4440547781185,-1893.741668075323,0.03144271583105619,-93.46716795401899,darces,-136.58232110719587,927.3962549566843,0.44157258089650975,2.547582888499615,1093,-1899.828,solution,-136.07286630767078,926.2703201327631,-1893.7925984229075,6.035401577092417,0.19540828422245532,0.05093034758442627
-96.66166364088537,-135.392984823095,922.5370457013586,-1893.863932788372,0.002777833792906569,-96.99775491637516,darces,-136.90171475993736,923.9992740092964,0.3041807388279042,2.256286353845936,1096,-1899.828,solution,-136.37462400740242,923.2314407269382,-1893.8752400209466,5.9527599790533126,1.2024142130387074,0.011307232574608861
-85.50317237824966,-146.73925175769415,978.5949600734539,-1893.7300048470497,0.000904026959157011,-85.6044221652226,darces,-146.76473184619044,978.5674256180649,0.01292210234501053,0.07105507692708975,1109,-1899.828,solution,-137.0457050631918,910.1050368925481,-1894.6364704743548,5.191529525645232,69.17249760450224,0.9064656273051241
-33.56277668580767,-105.49976546426286,859.1501837243209,-1894.4442356824875,0.010970723333620862,-34.03368577767316,ransac,-105.36595817555833,859.2104522252155,0.0767606173024629,0.49508180657340783,1170,-1899.828,solution,-104.90452885993852,859.2502407219906,-1894.481441111303,5.34655888869699,0.6035876223964982,0.03720542881546862
-52.91491952761565,-95.41091807405951,842.5907340743332,-1894.6213483214378,0.050721528576278686,-55.655954549647284,darces,-92.49544520374637,846.4487357023481,1.375091756770449,11.837506081249677,1188,-1899.828,solution,-93.28874465726699,845.4714325590583,-1894.6218219521838,5.206178047816109,3.577994378256893,0.0004736307460007083
-57.69760091968057,-70.93135791861691,815.455655394346,-1894.6724860668182,0.020021165040972545,-57.54820905845077,darces,-70.07962563842906,814.689213646197,0.08378320446899787,0.5480432068425691,1229,-1899.828,solution,-68.99107502044467,813.6743143198627,-1894.7003131209292,5.1276868790707315,2.6339843865484416,0.02782705411095776
-59.04929767182417,-47.98507373576724,779.3742283014185,-1894.1839936971664,0.010675380159408077,-59.04647554220003,darces,-49.28077971794475,779.4066165612858,0.20543307782812306,1.3188017618859131,1269,-1899.828,solution,-48.131881828337896,778.6994615788142,-1894.1632037006584,5.664796299341507,0.6905524932823046,0.020789996508028707
,,,,,,none,,,,,1286,-1899.828,feature_pose_unavailable,-41.456405164425405,762.810789950446,-1895.0539507509482,4.77404924905178,,
-58.12873826721061,-30.452110233472894,743.140217852665,-1895.2072071074508,0.030233791573679097,-56.35968630011084,darces,-30.202920879925596,743.1289391663921,0.11151710510199987,2.0382903243252013,1310,-1899.828,solution,-29.093001068090985,741.8963616980541,-1895.203730997336,4.624269002664162,1.842377772550649,0.0034761101148887974
-57.38877095431311,-28.515834705593328,740.7469678329562,-1895.0958870574832,0.033198241936853105,-55.4736466122518,darces,-27.613079687882156,740.3437213487701,0.11547600267911384,2.284259796258125,1313,-1899.828,solution,-27.471846187615597,739.3270258207738,-1895.1445268924303,4.683473107569583,1.7624265498539426,0.04863983494715285
-50.246937490158444,-28.312203516768378,739.9661546570591,-1895.0724692344666,0.037503200229603115,-48.74511773893189,darces,-26.680126423998598,739.022250443889,0.14167813242439375,1.8720532829802414,1315,-1899.828,solution,-26.305159114617254,737.6752924656557,-1895.117915562132,4.710084437867775,3.0456980829043854,0.04544632766555878
-40.9510698108912,-21.103992315014672,732.2237088230617,-1894.985267445445,0.026499937514136623,-38.66580371052867,darces,-19.651731353185845,732.151806409801,0.06369589033570752,2.857239568313508,1325,-1899.828,solution,-18.507551448834192,731.1010740050724,-1895.0328325450582,4.795167454941759,2.8287477982552276,0.04756509961316624
-41.52495205324836,-19.989083633152568,731.6224074705285,-1894.9954744577408,0.0396540862664425,-37.869949372676224,darces,-18.30312598281599,731.9739541488555,0.11824103996945831,7.063552582377901,1326,-1899.828,solution,-17.733503571994447,730.4196775494465,-1895.0078081300423,4.820191869957558,2.5562082613433397,0.012333672301565457
-56.0617558532774,-14.401824255755285,728.0266361834665,-1894.7966941595078,0.014655506500695737,-55.585409317024144,darces,-14.375691624307509,727.2295705536862,0.2190289458102537,1.302132768305485,1332,-1899.828,solution,-13.492963859575639,726.0621337617229,-1894.7946733584586,5.033326641541305,2.164554685098178,0.0020208010491842288
,,,,,,none,,,,,1388,-1899.828,feature_pose_unavailable,6.534320807127642,673.4576423169165,-1895.1197465347568,4.708253465243268,,
-69.9685915846111,6.984763291298953,672.2260743839558,-1895.140262246132,0.001824055203016044,-70.88361475101136,darces,7.001905127734911,672.3325235045379,0.07189633595474264,0.8079298050582309,1390,-1899.828,solution,7.239276933732526,671.5195319914667,-1895.156489696398,4.671510303601954,0.7509855834628941,0.01622745026611483
-55.90034475329905,13.434275226904832,656.5415227004696,-1895.008841753006,0.02197487872397069,-54.75086969082109,ransac,13.706499468010229,656.4641167346826,0.3639862035937932,2.4814713806536943,1406,-1899.828,solution,13.56660903069951,656.5875253904594,-1895.0158646775703,4.812135322429578,0.14010168847328414,0.007022924564353161
-58.82948597321414,24.184417264394646,638.7836241884067,-1895.0952145904303,0.0002843506139192469,-58.78736294097095,ransac,24.201667203289468,638.7895556971462,0.22625330484159534,1.157749994432543,1428,-1899.828,solution,25.20815026196567,637.6157240645402,-1895.0545609420128,4.773439057987171,1.553067915335046,0.040653648417446675
-59.69045314539973,52.76479056152116,600.780583200989,-1895.0130102150142,0.003633371101867466,-59.50853620002779,darces,52.14363615418917,600.9030339244317,0.025878105241391315,0.19908684774076513,1474,-1899.828,solution,52.786581821883715,600.310305166003,-1894.978999369254,4.849000630745776,0.47078263478857985,0.03401084576012181
-58.17346814754366,57.11939004192667,591.3138517735482,-1894.5368689894676,0.02828069600268019,-58.60766727527017,darces,57.08120899854224,593.122674603706,0.7828695981937751,4.636237614673486,1483,-1899.828,solution,57.620383380076305,592.5280787833653,-1894.5438186950812,5.284181304918766,1.3135225754587463,0.006949705613578772
