estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-0.2946334803783904,-442.4690735284761,-156.81709807036077,8.585423707962036,0.022429603140019277,-2.1512617696160907,darces,-443.6703201866643,-160.23802687180677,1.631095665063474,7.631944625294812,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,469.43121390156676,9.081079185009003
-2.009380472422996,-459.8991038065248,-119.01970022923318,9.31932806968689,0.07750572385773496,-6.787022285373401,darces,-451.5119730686876,-116.7658757276946,1.4509830683790756,17.05197395466931,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,486.7758834752095,10.130867600440979
-40.76212213924975,20.875953139585082,-9.282604626351189,-0.03912770748138428,0.04392509536388999,-41.59882514541464,darces,20.38057955288404,-10.045953509451394,0.44365977425663994,1.588913073057221,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,3.1604950400365555,0.49820250272750854
-64.92748768913067,-523.6982309896205,-552.4316712390947,7.416910409927368,0.13615275207150937,-67.6068772779156,darces,-525.888327994853,-551.914501196137,1.6443245432893958,8.525624817170762,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,763.1739689733637,9.976494073867798
,,,,,,none,,,,,5,feature_pose_unavailable,19.5212345123291,-46.497894287109375,-2.1845808029174805,,
-149.16381445441093,-4.544198194166664,-58.56990487697874,0.08658981323242188,0.09320178804596238,-149.751968103109,darces,-1.1790415280377715,-56.57092364246468,0.547305977683332,2.2727132915855144,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.6104911010390444,0.5409196019172668
,,,,,,none,,,,,7,feature_pose_unavailable,-8.252805709838867,-83.77835845947266,-1.3806068897247314,,
,,,,,,none,,,,,8,feature_pose_unavailable,-11.781176567077637,-93.33480834960938,-2.9016098976135254,,
,,,,,,none,,,,,9,feature_pose_unavailable,-18.610734939575195,-138.35015869140625,-2.200972080230713,,
,,,,,,none,,,,,10,feature_pose_unavailable,-23.69623565673828,-150.10791015625,-0.596463680267334,,
-110.61069213995948,-304.68930417612904,-351.28281083341113,6.951306581497192,0.07228489385567716,-113.51435388013638,darces,-310.99742854628903,-348.57275675272604,0.6252832182473818,6.061074089063521,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,339.732648707673,6.990405917167664
-95.7991713094647,-23.677808101127237,-178.18936787230749,1.7334662675857544,0.08789447226663415,-96.8259181078475,darces,-24.1240813355014,-173.15199051777893,1.1306264166907476,4.655043848262935,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,5.191398045321221,0.4928286075592041
-99.7939931812532,-29.15508600411744,-202.87032655729672,3.33257257938385,0.0004089358234433806,-99.2174194347655,darces,-27.775137589652402,-199.92960624838324,0.3409312719608413,1.3403389851579688,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,4.205989482079193,0.5565162897109985
