resolution,total_sites,solved_sites,minimum_xy_error_m,p10_xy_error_m,p25_xy_error_m,median_xy_error_m,mean_xy_error_m,std_xy_error_m,p75_xy_error_m,p90_xy_error_m,maximum_xy_error_m,darces_selected,ransac_selected,moga_selected
0p25m,100,0,,,,,,,,,,0,0,0
0p5m,100,19,0.3552331786572943,3.702990466502032,5.585566554887706,11.679637727604742,57.28542828896334,75.56606087569432,93.60799580990754,190.0467178076747,197.97817320410263,2,11,6
1m,100,44,0.889102074716958,6.11517251445518,15.53866887419481,52.300125267283235,116.60162798183542,125.04218891228801,263.97192989462945,313.0561502543309,345.690954636576,2,22,20
2m,100,41,3.1895069924914674,26.983626178497573,56.04095200732285,145.35499944653037,134.3503024625483,80.25832630898806,217.88745094538532,228.03129301991058,240.93232214628597,0,31,10
5m,100,6,115.49337472926118,164.74234396983252,214.4594542292726,227.54213329564905,215.66969911377268,47.68975900763434,250.00680265820307,254.72462007583638,255.84696637587507,0,6,0
10m,316,0,,,,,,,,,,0,0,0
