estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,moga_final_cost,moga_initial_cost,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
,,,,,,none,,,,,131,-1899.828,feature_pose_unavailable,-587.3361948503389,1748.5488907235288,-1899.9163787765308,-0.08837877653080876,,
,,,,,,none,,,,,189,-1899.828,feature_pose_unavailable,-543.6740153518185,1709.2273209933635,-1899.980465635776,-0.15246563577610037,,
-52.556956735022126,-535.423054901069,1700.611738466885,-1899.6336880475283,0.04692589054917947,-49.14720144348397,darces,-535.6512318917124,1700.3392631735137,0.24212422582828222,7.032004271598355,202,-1899.828,solution,-535.3051337494954,1699.0717732085766,-1899.6379363253075,0.1900636746925011,1.5444735008363057,0.004248277779197451
-46.370938098629445,-519.2710084056195,1681.5336901229239,-1899.045752465725,0.03154189960990202,-45.14554987777328,darces,-520.3399220775021,1679.048848143009,1.4993083584161049,9.345534427851728,229,-1899.828,solution,-518.1692381773893,1677.5952571215457,-1898.9549528982318,0.8730471017681081,4.089639610302947,0.09079956749314988
-51.86153554302266,-102.0104389676443,843.9230602637039,-1894.667791903019,0.01691581472219919,-52.67171351686868,darces,-103.48579146796493,843.1407522308889,0.19734433853387962,1.6471199253863076,252,-1899.828,solution,-502.9241508482009,1659.8254670380782,-1898.696530022767,1.13146997723285,909.0811524578334,4.028738119748141
-60.18062777629448,-498.3294651851417,1655.7196304963634,-1898.6427282691002,0.03639292707597212,-60.06072739997086,darces,-497.5062686599559,1653.6842882317644,0.8674343360187853,4.937403425889364,262,-1899.828,solution,-497.1000843802959,1651.5834628596951,-1898.6485563791102,1.179443620889856,4.315004041938427,0.005828110010043019
-58.3432467766058,-489.84936551102277,1643.724314303543,-1898.402600646019,0.0012773487515215297,-57.38635684884072,darces,-491.1674384523045,1642.8171762151505,0.12294617687307306,1.2727746878352184,273,-1899.828,solution,-491.32452554961617,1641.9071782840776,-1898.538571015022,1.2894289849780387,2.340529951250628,0.1359703690029619
,,,,,,none,,,,,277,-1899.828,feature_pose_unavailable,-489.18646389721505,1638.4306311223627,-1898.3967253073845,1.4312746926155504,,
,,,,,,none,,,,,293,-1899.828,feature_pose_unavailable,-480.4980325978644,1624.5968454343554,-1898.0863004847058,1.7416995152941703,,
,,,,,,none,,,,,377,-1899.828,feature_pose_unavailable,-436.3525068444849,1552.2997584514658,-1896.2062955081142,3.6217044918858576,,
,,,,,,none,,,,,390,-1899.828,feature_pose_unavailable,-429.7309701704363,1541.0020597226303,-1896.1269497903882,3.7010502096117897,,
