estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
none,,,,,DARCES has no pose estimate,,,,,,,,,,,159,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,161,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,162,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,164,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,165,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,168,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,169,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,172,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,175,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,177,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,180,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,181,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,187,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,194,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,195,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,198,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,199,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,200,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,201,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,203,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,204,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,208,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,209,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,211,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,212,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,213,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,215,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,216,,darces_unavailable,,,,,,
