site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,2151,8,True,True
2,1951,7,True,True
3,3533,11,True,True
4,1853,4,True,True
5,1930,3,True,True
6,4382,10,True,True
7,2333,3,True,True
8,1942,2,False,False
9,1888,1,False,False
10,2494,1,False,False
11,2539,6,True,True
12,2722,9,True,True
13,2273,6,True,True
14,2833,10,True,True
15,2460,6,True,True
16,1115,4,True,True
17,2151,8,True,True
18,2057,7,True,True
19,1199,4,True,True
20,2332,10,True,True
21,1594,8,True,True
22,1919,6,True,True
23,1954,10,True,True
24,3591,2,False,False
25,2924,3,True,True
26,1797,8,True,True
27,1906,7,True,True
28,2354,11,True,True
