estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-0.31864887522832264,1.5021811890203802,2.670546667572053,-0.009536266326904297,0.04644499798995151,0.9953863643255071,darces,3.8670391578251753,-6.240443697297465,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,3.0674963289426334,0.48611921072006226
-2.220185301754167,-464.1791210874737,-130.0603922727801,9.346802711486816,0.28831055318890564,-3.2171617598154767,darces,-463.39783057974097,-127.58265779427748,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,493.7067421366605,10.158342242240906
-40.87657584686329,26.378568267125818,-5.6896646542211355,-0.02508866786956787,0.15837880297742865,-41.891143203698725,darces,23.62341780562359,-11.1796319410134,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,5.143249779809449,0.512241542339325
-64.94091676011276,556.2843071097891,382.42844880824447,-11.851110696792603,0.14958182305359785,-66.90317808183917,darces,558.0547840667725,382.14644603681035,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,666.1134091619467,9.291527032852173
,,,,,,none,,,5,feature_pose_unavailable,19.5212345123291,-46.497894287109375,-2.1845808029174805,,
-149.6122977923209,-2.4862454329435977,-54.24752124700475,0.08674812316894531,0.35528154986403343,-150.24956517205712,darces,-3.5883992486284164,-55.900620033325,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,5.016705780316712,0.5410779118537903
,,,,,,none,,,7,feature_pose_unavailable,-8.252805709838867,-83.77835845947266,-1.3806068897247314,,
,,,,,,none,,,8,feature_pose_unavailable,-11.781176567077637,-93.33480834960938,-2.9016098976135254,,
,,,,,,none,,,9,feature_pose_unavailable,-18.610734939575195,-138.35015869140625,-2.200972080230713,,
-111.75617303015616,-276.92785898487546,457.1617633460637,6.978790879249573,0.03076459312338999,-112.94893728092327,darces,-279.04374953027656,457.9005215437965,10,solution,-23.69623565673828,-150.10791015625,-0.596463680267334,657.953426474101,7.575254559516907
-110.68237147415464,-323.275591112338,-211.6412290574605,7.1239542961120605,0.1439642280508253,-111.76088436319351,darces,-327.77544986119216,-203.19305308785647,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,302.13376124078565,7.163053631782532
-95.66519130243188,-28.868961796956775,-182.26023974243742,1.7934696674346924,0.046085534766187104,-93.54868197390444,darces,-24.402030732816094,-176.6335605631396,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,8.05960519478402,0.5528320074081421
-99.62872134330952,-34.244678944201766,-207.86954910242764,3.370391845703125,0.16486290212024404,-98.57261603575826,darces,-29.27574735848152,-200.42570380381068,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,9.551104430393435,0.5943355560302734
,,,,,,none,,,14,feature_pose_unavailable,-50.64036178588867,-224.77685546875,3.8478145599365234,,
148.68470752352135,-14.690773220998539,15.384028512605116,0.46395695209503174,0.23579931532923887,151.56172087489716,darces,-18.33653182015741,7.874190967704255,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,9.391339454295249,0.29244136810302734
-138.40777740024882,-153.67631779722706,-230.97997958417744,4.740803569555283,0.01276874548334474,-140.16040817574256,ransac,-160.24377037361825,-234.34290794901705,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,96.27825631128584,1.4769841730594635
,,,,,,none,,,17,feature_pose_unavailable,-102.15924835205078,-266.02862548828125,3.638662815093994,,
