site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,219,3,True,True
2,226,4,True,True
3,305,3,True,True
4,274,4,True,True
5,340,7,True,True
6,86,2,False,False
7,215,4,True,True
8,275,5,True,True
9,98,2,False,False
10,388,7,True,True
11,273,7,True,True
12,194,5,True,True
13,453,6,True,True
14,232,8,True,True
15,466,5,True,True
16,397,7,True,True
17,378,11,True,True
18,230,4,True,True
19,309,2,False,False
20,252,3,True,True
21,285,3,True,True
22,361,4,True,True
23,178,3,True,True
24,217,2,False,False
25,152,2,False,False
26,184,1,False,False
27,217,1,False,False
28,220,4,True,True
