cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
3,0,inf,inf,7,"[417, 393, 376, 384, 378, 380, 404]","[10, 9, 8, 4, 3, 5, 6]",13.169780021478555,0.5494276649587811,-167.93621919290902,-132.09437182486346,-224.16463591322457,3.7259920239448547,1560,-0.4261480998274424,raw_lidar_xy_decimated,791,2.5,4.856788218401903,-163.07943097450712,11,1.0,87.50140961700527,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,91.20677964040061,1.7505390048027039
5,0,inf,inf,6,"[460, 396, 410, 437, 442, 445]","[10, 0, 2, 11, 1, 6]",12.546396100327321,0.6912473861855872,-135.93996126772848,-225.31643065803024,-312.07395463846944,7.221171855926514,1765,-0.5203152625603259,raw_lidar_xy_decimated,1477,2.5,1.0800459244258604,-137.02000719215434,13,1.0,55.193938866999815,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,40.628385243139,0.3409719467163086
4,0,inf,inf,5,"[410, 422, 445, 442, 427]","[0, 1, 6, 5, 4]",7.211027585820891,0.2614959810001506,-139.32506043473845,-209.3186372651199,-351.143968610201,6.027914881706238,214,-0.09612123531526272,raw_lidar_xy_decimated,1023,2.5,0.18249340237233014,-139.50755383711078,8,1.0,16.00548710100702,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,2.0314721687492296,0.5887540578842163
5,0,inf,inf,7,"[410, 442, 422, 427, 431, 423, 389]","[0, 6, 2, 3, 5, 4, 1]",7.139346672928339,0.5602852745749963,-154.08416499755432,-233.65727000035378,-369.80913205845195,6.478208780288696,127,-0.08762576644973911,raw_lidar_xy_decimated,1251,2.5,0.5343570587620832,-154.6185220563164,7,1.0,9.168999228000757,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,2.917347767471718,0.5891430377960205
4,0,inf,inf,4,"[468, 477, 471, 464]","[3, 2, 5, 0]",12.104872467253227,1.3539603404182765,-158.62206423170008,-426.63960404245836,-456.77573848656033,8.647581338882446,1519,-0.8899202905241779,raw_lidar_xy_decimated,1292,2.5,0.32021150223468453,-158.94227573393476,15,1.0,53.53358479999588,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,191.14693667476783,2.2530252933502197
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,2324,2.5,,-138.21486385709562,3,,0.011458068998763338,24,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,1858,2.5,,116.45158980740251,4,,1.7292143009981373,25,no_solution,,,,,
2,0,inf,inf,7,"[401, 386, 420, 378, 408, 433, 384]","[6, 1, 2, 8, 7, 9, 0]",15.64835129110943,0.8604916415639683,94.02900787383307,-196.94912550130064,-165.3030537854506,3.6437990069389343,524,-0.5129139042306511,raw_lidar_xy_decimated,1174,2.5,0.6136163304990419,94.64262420433211,10,1.0,46.542950427989126,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,220.02908378543142,1.452064335346222
5,0,inf,inf,8,"[427, 442, 445, 423, 460, 431, 389, 410]","[2, 6, 7, 3, 10, 5, 1, 8]",8.427270973848527,0.7967179317858395,164.40564190604732,-356.79124933531773,-338.9383296485736,6.634029030799866,2387,-0.10147561371764234,raw_lidar_xy_decimated,1244,2.5,0.8300020575370581,165.23564396358438,13,1.0,133.75996409800428,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,0.9602476430203384,0.5642343759536743
2,0,inf,inf,10,"[499, 477, 535, 460, 498, 471, 470, 445, 536, 472]","[11, 6, 13, 5, 10, 0, 4, 9, 15, 7]",17.360406919753377,0.7375845693199429,-143.02678509973032,-491.305926700159,-382.73065650619213,9.177227020263672,2163,-0.4861249271909467,raw_lidar_xy_decimated,1524,2.5,3.1714778322566417,-146.19826293198696,17,1.0,61.42235926799185,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,102.60204332116494,2.235086441040039
