site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,16674,1,False,False
2,15031,1,False,False
3,31082,2,False,False
4,19827,1,False,False
5,20678,0,False,False
6,31559,2,False,False
7,35204,1,False,False
8,39964,1,False,False
9,35390,1,False,False
10,37733,1,False,False
11,31557,1,False,False
12,26106,1,False,False
13,17306,1,False,False
14,16513,0,False,False
15,19106,2,False,False
16,17523,1,False,False
17,15256,2,False,False
18,16614,3,True,True
19,16374,2,False,False
20,25939,4,True,True
21,29502,2,False,False
22,27955,2,False,False
23,19685,2,False,False
24,28293,0,False,False
25,30936,0,False,False
26,17155,1,False,False
27,18676,1,False,False
28,17698,0,False,False
