estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
darces,-2.066239629073543,718.9842049851875,-5486.605243888657,-1005.8226196169853,,-0.3733927906950493,-0.01875767736004308,raw_lidar_xy_decimated,5861,1.0,1.71399972222747,1.0,RANSAC terrain fitness improvement was below threshold,False,0.016448754002340138,83,-1006.809,solution,717.9048299204226,-5486.981442782929,-1005.6289926978208,1.1800073021792312,1.1430556147831903,0.19362691916455788
darces,-0.260485046362396,715.7888347530256,-5487.923054272385,-1005.7111003398895,,-0.2558846991785449,-0.20499502407993886,raw_lidar_xy_decimated,6122,1.0,0.08484430437957258,1.0,RANSAC terrain fitness improvement was below threshold,False,0.008362118998775259,84,-1006.809,solution,718.9171868841113,-5486.99075858124,-1005.5012632553336,1.3077367446664259,3.2643165152596167,0.20983708455594297
darces,-0.05633801479613984,719.0258642929991,-5488.392015323882,-1005.1584138870239,,-0.6683978936046959,-0.5186938502498659,raw_lidar_xy_decimated,7844,1.0,0.2804367282117539,1.0,RANSAC terrain fitness improvement was below threshold,False,0.008947280002757907,87,-1006.809,solution,721.9586480505693,-5487.001587076867,-1005.1007557535738,1.708244246426167,3.2456911865990423,0.05765813345010429
darces,0.3191678402598163,720.1559773585822,-5487.990310432798,-1005.1427171230316,,-0.21874219430493894,-0.380797110364674,raw_lidar_xy_decimated,8181,1.0,0.3206216757272955,1.0,RANSAC terrain fitness improvement was below threshold,False,0.018115080005372874,88,-1006.809,solution,722.9875972880423,-5487.002866565371,-1004.9642160449109,1.8447839550890914,2.998852583278243,0.17850107812068927
none,,,,,DARCES has no pose estimate,,,,,,,,,,,90,,darces_unavailable,,,,,,
darces,0.3191678402598163,730.1558222049788,-5487.934605424104,-1003.817364692688,,-0.28382687647207305,-0.15287867208107003,raw_lidar_xy_decimated,9311,1.0,0.18528341522920755,1.0,RANSAC terrain fitness improvement was below threshold,False,0.019018702005269006,97,-1006.809,solution,732.0056026480726,-5486.996956955169,-1003.731802559405,3.077197440594948,2.0738544642644023,0.08556213328301965
darces,0.3626266739625174,729.4605406492351,-5489.196859533969,-1003.8034100532532,,-0.3697383751520506,-0.026122586882358023,raw_lidar_xy_decimated,9917,1.0,0.3789733739560006,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03607389899843838,98,-1006.809,solution,733.0200129150755,-5486.996191648911,-1003.6000861834601,3.2089138165398143,4.184827589233632,0.20332386979305284
darces,-0.059202065635947425,733.0251035973822,-5490.40946393759,-1003.6208961009979,,-0.47541594444272084,-1.9837532865006056,raw_lidar_xy_decimated,10037,1.0,0.504973289215144,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03612733400950674,100,-1006.809,solution,735.0589826520511,-5487.033028486695,-1003.3643241287652,3.4446758712347734,3.9416976498813785,0.2565719722326776
darces,-2.1695406968206004,739.5507317657602,-5489.373373753092,-1003.2152104377747,,-0.5049225405392291,-1.0055396957957572,raw_lidar_xy_decimated,10372,1.0,2.0788391703071056,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03733872999146115,103,-1006.809,solution,738.0949123813048,-5487.026136421222,-1002.9939512202589,3.815048779741174,2.762052347853064,0.2212592175158079
darces,-0.520925003790876,739.3147525954257,-5487.762121417416,-1002.9415488243103,,-0.8844245615822905,-0.1344630345641693,raw_lidar_xy_decimated,9555,1.0,1.0562854664719055,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03575565399660263,104,-1006.809,solution,739.1737275039754,-5486.838713773923,-1003.0012332511453,3.807766748854703,0.9341144215138788,0.05968442683501962
none,,,,,DARCES has no pose estimate,,,,,,,,,,,105,,darces_unavailable,,,,,,
darces,-6.6831169674980035,740.7871945658819,-5488.718810110689,-1002.5669498443604,,-0.6899741170297907,-0.25110876746336885,raw_lidar_xy_decimated,10886,1.0,1.1846762718812158,1.0,RANSAC terrain fitness improvement was below threshold,False,0.020818788994802162,106,-1006.809,solution,741.1445186261084,-5486.845197609639,-1002.5909878779555,4.218012122044412,1.907381526624324,0.024038033595161323
darces,-6.556119544221592,738.1968792865578,-5491.184119773867,-1002.6023945808411,,-1.281009845143311,-0.5518884840278033,raw_lidar_xy_decimated,10686,1.0,1.0284019015003878,1.0,RANSAC terrain fitness improvement was below threshold,False,0.020764771004905924,107,-1006.809,solution,742.1386016162292,-5486.964558818956,-1002.4583538068428,4.350646193157196,5.774241904911641,0.14404077399831294
darces,0.6622997333318383,741.2870225534294,-5492.647777063635,-1003.0579514503479,,-0.7424096622458382,-0.2778064568431521,raw_lidar_xy_decimated,11275,1.0,0.48679982295641366,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03767065399733838,110,-1006.809,solution,745.1735406530634,-5486.996477994563,-1002.0401703283238,4.768829671676122,6.85873196056476,1.0177811220240756
darces,2.0766444767812766,744.5103599873996,-5486.534025814762,-1001.8848857879639,,-0.8104356234897295,-0.3326287325505354,raw_lidar_xy_decimated,10652,1.0,1.6752689718509544,1.0,RANSAC terrain fitness improvement was below threshold,False,0.04035345900047105,113,-1006.809,solution,748.2423014425708,-5487.001615254331,-1001.7013584820298,5.107641517970155,3.76112043264001,0.1835273059340352
darces,-0.022628663718031967,751.0088132819753,-5492.369538337178,-1001.5173625946045,,-0.6736404226937327,-0.37676962666416336,raw_lidar_xy_decimated,8810,1.0,1.0366288835467117,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03432592100580223,116,-1006.809,solution,751.2761590048843,-5486.994346743928,-1001.4264563805559,5.382543619444023,5.381835969230339,0.09090621404857302
darces,-1.3650325824140541,753.0928800448995,-5489.240697805495,-1001.0107421875,,-1.1742855727947503,-0.3043590155778415,raw_lidar_xy_decimated,7437,1.0,1.2638631754072094,1.0,RANSAC terrain fitness improvement was below threshold,False,0.018095190986059606,121,-1006.809,solution,756.3124559306326,-5486.986530526136,-1000.8582677529937,5.950732247006305,3.9302594071288857,0.15247443450630271
none,,,,,DARCES has no pose estimate,,,,,,,,,,,122,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,123,,darces_unavailable,,,,,,
ransac,1.8951762053004473,759.5574243678248,-5487.269271088681,-999.9933362007141,,-0.22540104964963423,0.10872812208672714,raw_lidar_xy_decimated,7981,1.0,0.8960666412062039,1.0,,False,0.018905374003225006,128,-1006.809,solution,763.3250169192447,-5486.9748385718885,-999.7082603249537,7.100739675046247,3.7790798007531055,0.2850758757604126
none,,,,,DARCES has no pose estimate,,,,,,,,,,,132,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,134,,darces_unavailable,,,,,,
ransac,-27.80536550272593,769.7015662692031,-5487.573638636492,-998.504207611084,,-0.4441046234244931,0.03085015462297941,raw_lidar_xy_decimated,6448,1.0,0.572803829805622,1.0,,False,0.008720711994101293,138,-1006.809,solution,773.3041541786316,-5487.244199931513,-998.3658635831699,8.443136416830013,3.6176193146182167,0.13834402791405864
none,,,,,DARCES has no pose estimate,,,,,,,,,,,139,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,140,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,146,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,147,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,149,,darces_unavailable,,,,,,
ransac,-1.330510960422497,777.8919264833632,-5494.234253948113,-996.3409719467163,,-2.045332539125457,0.5053393015137275,raw_lidar_xy_decimated,8198,1.0,1.0840543265249778,1.0,,False,0.008910931006539613,150,-1006.809,solution,784.4605387228094,-5488.993333644493,-996.2057305723716,10.603269427628359,8.403208457553712,0.1352413743446732
none,,,,,DARCES has no pose estimate,,,,,,,,,,,151,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,156,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,157,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,158,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,159,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,161,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,162,,darces_unavailable,,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,164,,darces_unavailable,,,,,,
