cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
2,0,inf,inf,2,"[6, 5]","[39, 40]",6.930176682495846,0.7788676913351361,-24.951120530411547,-83.4279165394818,-121.31471078145839,1771.0773749351501,4,-3.944260402798827,raw_lidar_xy_decimated,6008,1.0,3.9762815249161463,-20.974839005495397,48,0.9778628495339547,5.109068659017794,2,solution,0.9304230809211731,-0.2381262630224228,-0.3092041015625,147.56648936042768,1771.3865790367126
5,0,inf,inf,4,"[4, 5, 7, 6]","[17, 20, 54, 42]",7.282320879186189,0.40500322956491686,-40.48726523934245,4.401961972820612,-8.493359654436027,1778.9355363845825,287,-0.6576300343441802,raw_lidar_xy_decimated,10025,1.0,2.0284726931404293,-42.51573793248288,93,0.981147132169576,46.039686870004516,6,solution,3.7302491664886475,-3.090923309326172,0.2786865234375,5.444034951867438,1778.656849861145
5,0,inf,inf,4,"[5, 4, 7, 6]","[27, 18, 66, 56]",7.2998294669467105,0.1907854764619444,-38.27660745729336,5.525809794080914,-9.546175284070312,1779.5709340572357,303,-0.25592583150072845,raw_lidar_xy_decimated,9346,1.0,0.7854554351735601,-39.06206289246691,98,0.9845923389685427,53.10247059102403,7,solution,4.510462284088135,-3.7341771125793457,0.3763427734375,5.900021467034071,1779.1945912837982
5,0,inf,inf,4,"[7, 4, 5, 6]","[93, 36, 75, 72]",11.360841264367014,0.4794009220108635,-38.19600700309093,3.8430612500630446,-7.3458306200362005,1779.248071193695,1049,-0.5796389697153997,raw_lidar_xy_decimated,9874,1.0,0.4326445094914959,-37.76336249359943,143,0.9808588211464452,158.01809384697117,9,solution,6.133005142211914,-4.976420879364014,0.4110107421875,3.295139685716245,1778.8370604515076
5,0,inf,inf,5,"[7, 6, 4, 5, 3]","[33, 27, 12, 17, 8]",12.72570977669492,0.3318144745566138,-38.82808663832399,7.8018610566040625,13.27990589599868,1779.2180619239807,151,-1.3061853308493094,raw_lidar_xy_decimated,8766,1.0,2.5030024400420814,-41.33108907836607,77,0.93212411590235,21.024990385980345,14,solution,10.047952651977539,-8.223517417907715,0.2745361328125,21.62041030304144,1778.9435257911682
3,0,inf,inf,2,"[4, 2]","[43, 9]",3.608692870885209,1.3239678031109015,-37.684180143019844,-37.960970380694874,17.380381806889133,1775.3402005434036,108,-1.648807479240861,raw_lidar_xy_decimated,8737,1.0,1.3384147937218813,-39.02259493674172,65,0.9207966121094197,13.15720577101456,18,solution,13.143409729003906,-10.803790092468262,0.2095947265625,58.360990499211916,1775.1306058168411
5,0,inf,inf,4,"[4, 7, 6, 5]","[11, 35, 21, 28]",11.662570662836158,1.0738749909654515,-36.5807303179901,12.856567160266398,-6.93109789461751,1777.779617190361,157,-1.9154325931722944,raw_lidar_xy_decimated,6806,1.0,2.7830933120658017,-39.3638236300559,76,0.9692918013517484,20.330010469944682,26,solution,19.473289489746094,-15.904989242553711,0.2159423828125,11.14951749225048,1777.5636748075485
5,0,inf,inf,3,"[7, 4, 6]","[71, 37, 43]",4.841775527659568,0.8374835249998503,-43.13106806887919,28.69839587485162,4.773317950125914,1779.787133038044,104,-1.5874357265233932,raw_lidar_xy_decimated,8447,1.0,1.2648656043136839,-41.86620246456552,136,0.9611696460281757,111.6156071239966,35,solution,26.538867950439453,-21.722379684448242,-0.051025390625,26.583557963506212,1779.838158428669
5,0,inf,inf,4,"[5, 3, 7, 4]","[30, 16, 43, 63]",7.517692017570882,1.5791384005385831,-42.17856605057892,2.2924656547550306,-19.10543412842838,1777.647035047412,305,-0.8424552231392282,raw_lidar_xy_decimated,7842,1.0,1.7196188990890278,-40.45894715148988,111,0.995026778882938,63.60577064799145,36,solution,27.270973205566406,-22.418659210205078,-0.204345703125,25.197287550616537,1777.851380750537
3,0,inf,inf,2,"[4, 5]","[29, 28]",6.123372704554481,0.8270867100679795,-33.660730211844665,0.3295165034813472,-8.530412593853734,1776.4523771703243,44,-2.556604484688058,raw_lidar_xy_decimated,7349,1.0,1.5053211666650554,-35.166051378509735,90,0.9829908831133487,49.86870099400403,37,solution,28.076244354248047,-23.026575088500977,-0.0062255859375,31.30526526793424,1776.4586027562618
