estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-0.381771688887363,-444.6637415669918,-154.7045892965712,8.585423707962036,0.1095678116489919,-2.1512617696160907,darces,-443.6703201866643,-160.23802687180677,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,470.80199328643505,9.081079185009003
-2.0329586762420226,-460.60868201462813,-119.2027339380457,9.31932806968689,0.10108392767676169,-6.787022285373401,darces,-451.5119730686876,-116.7658757276946,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,487.50867102326174,10.130867600440979
-40.91302043291948,21.144035181211102,-6.47291593176083,-0.03912770748138428,0.19482338903361743,-41.59882514541464,darces,20.38057955288404,-10.045953509451394,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,4.633703191562919,0.49820250272750854
-64.92748767090345,-523.6982310089622,-552.4316712418499,7.416910409927368,0.13615273384428483,-67.6068772779156,darces,-525.888327994853,-551.914501196137,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,763.1739689894338,9.976494073867798
,,,,,,none,,,5,feature_pose_unavailable,19.5212345123291,-46.497894287109375,-2.1845808029174805,,
-149.16544083003106,-3.6517440444406675,-56.74029344433321,0.08658981323242188,0.09157541242582139,-149.751968103109,darces,-1.1790415280377715,-56.57092364246468,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.5300003319592754,0.5409196019172668
,,,,,,none,,,7,feature_pose_unavailable,-8.252805709838867,-83.77835845947266,-1.3806068897247314,,
,,,,,,none,,,8,feature_pose_unavailable,-11.781176567077637,-93.33480834960938,-2.9016098976135254,,
,,,,,,none,,,9,feature_pose_unavailable,-18.610734939575195,-138.35015869140625,-2.200972080230713,,
,,,,,,none,,,10,feature_pose_unavailable,-23.69623565673828,-150.10791015625,-0.596463680267334,,
-110.69084475724509,-302.93122122233126,-351.36756585937337,6.951306581497192,0.15243751114127732,-113.51435388013638,darces,-310.99742854628903,-348.57275675272604,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,338.34159072893993,6.990405917167664
-95.84251409485199,-24.853893182790998,-178.38202102257037,1.7334662675857544,0.1312372576539081,-96.8259181078475,darces,-24.1240813355014,-173.15199051777893,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,4.642869348076171,0.4928286075592041
-99.73516125533546,-30.269901228282272,-204.33884063373668,3.33257257938385,0.05842299009429708,-99.2174194347655,darces,-27.775137589652402,-199.92960624838324,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,5.380927014762335,0.5565162897109985
-132.19027937261825,-498.91771583255536,-452.4092104593722,11.12787115573883,0.2493180064983416,-134.4995453152127,darces,-499.73401969655345,-451.716451693178,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,502.76144958584206,7.280056595802307
148.566474577088,-379.6237582559222,-77.18814605368799,8.821160674095154,0.11756636889588333,149.44161035802512,ransac,-379.4598165859946,-73.73895945144453,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,372.64060012264264,8.64964509010315
-138.455955120971,-103.54992656290378,-224.69411186428547,4.016835451126099,0.06094646620552352,-139.71234166950032,darces,-104.95633240335943,-217.89992666666956,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,124.44708848427393,2.2009522914886475
,,,,,,none,,,17,feature_pose_unavailable,-102.15924835205078,-266.02862548828125,3.638662815093994,,
,,,,,,none,,,18,feature_pose_unavailable,-131.5979461669922,-290.22393798828125,5.277122974395752,,
,,,,,,none,,,19,feature_pose_unavailable,-162.78665161132812,-310.0521240234375,5.476531028747559,,
-136.91912729480472,-187.15975829129715,-337.55064415144807,7.454330921173096,0.10087989734962062,-136.0195701623404,darces,-189.5139823835214,-338.9839628275452,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,6.857872038444748,0.5741310119628906
-139.67308989692037,-203.42847089238307,-350.35376301133095,5.834092365577817,0.1655360598095901,-144.28567002113058,ransac,-206.35444436712953,-355.7902219353242,21,solution,-211.0142364501953,-352.2628173828125,5.4391608238220215,7.822296829663472,0.3949315417557955
-154.68648289000427,704.9667430558492,-209.4038483347843,-11.359063148498535,0.06796083368785358,-156.91243075727206,darces,703.8429458074786,-211.1671601314731,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,954.8858327856586,17.24812889099121
-158.96514743598792,-249.4975498413234,-382.08084527598976,6.830154776573181,0.022871702053149985,-159.1886782440187,darces,-247.32801311892032,-383.6196243771105,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,5.132224759443219,0.4355987310409546
,,,,,,none,,,24,feature_pose_unavailable,-279.89703369140625,-394.0205078125,5.653914928436279,,
,,,,,,none,,,25,feature_pose_unavailable,-301.57952880859375,-399.9701232910156,3.864340305328369,,
94.70426592533822,-123.29057008955138,-67.59628788912954,2.395030915737152,0.06164172100609475,93.52076946053198,darces,-121.9065038965554,-67.04208863562697,26,solution,-312.87744140625,-352.31488037109375,5.095863342285156,342.0641148682002,2.700832426548004
165.52104426761426,-362.2262135001216,-339.08979900726644,6.607069969177246,0.2854003040298699,166.5572388504696,darces,-357.91874548767504,-342.1435604358132,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,6.384267747306195,0.5372753143310547
-146.3455038379851,-392.12565196406945,-364.35250765775817,7.497150659561157,0.14724090599814385,-145.08153748263848,darces,-386.4330154520479,-364.09321349983406,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,2.669379302350775,0.5550100803375244
