checkpoint_signature,cluster_size,correspondence_count,evaluated_hypothesis_count,generated_hypotheses_per_s,generated_hypothesis_count,heading_error_deg,hypothesis_cap,local_feature_count,resolution,runtime_s,screened_hypothesis_count,site,status,xy_error_m
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,497.92018738268564,576,,100000,32,2m,1.1568119039875455,0,177,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,542.120859105751,8,,100000,9,2m,0.014756857010070235,0,179,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,388.28960871461493,11,,100000,11,2m,0.028329370019491762,0,180,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,445.0671851894705,42,,100000,16,2m,0.09436777501832694,0,187,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,594.4171723034699,156,,100000,19,2m,0.26244194695027545,0,202,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,4,3,5,657.0534969545807,685,3.911582093007212,100000,29,2m,1.0425330710131675,5,227,solution,174.7200822523751
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,2,2,10,657.439914614147,1348,3.4154529672172202,100000,38,2m,2.050377487030346,10,230,solution,202.18091026279873
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,506.9535572334117,644,,100000,32,2m,1.2703333289828151,0,231,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,2,3,2,577.5286225276849,195,2.004231915986594,100000,22,2m,0.33764560299459845,2,238,solution,227.88652542979509
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,615.7691174932384,646,,100000,31,2m,1.0490945090423338,0,241,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,4,3,4,495.46338045038465,665,4.403784970333561,100000,33,2m,1.3421779010095634,4,250,solution,227.64541692494268
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,3,3,3,400.2406158986981,530,2.9242746176311982,100000,32,2m,1.3242034389986657,3,253,solution,228.46744078568176
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,426.74975523007356,1184,,100000,48,2m,2.7744597049895674,1,254,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,5,3,7,273.24671452991953,506,1.1213633486517551,100000,29,2m,1.8518063460360281,7,258,solution,224.84643159922118
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,389.3666648498559,47,,100000,15,2m,0.12070884398417547,0,287,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,353.72683442076766,4,,100000,8,2m,0.011308161017950624,0,291,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,,,,241.06038515978025,33,,100000,20,2m,0.1368951600161381,0,292,no_solution,
59306a5440d189d5d631bdb1d1953d452df0b58f7fcbd2d99b5d688aed3eb70e,2,2,2,377.0250866903775,35,2.5389395449287804,100000,18,2m,0.09283201897051185,2,306,solution,207.933672838217
