site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,218,0,False,False
2,226,1,False,False
3,305,3,True,True
4,274,1,False,False
5,340,1,False,False
6,86,1,False,False
7,215,3,True,True
8,275,3,True,True
9,98,1,False,False
10,388,6,True,True
11,273,3,True,True
12,194,3,True,True
13,453,5,True,True
14,232,2,False,False
15,466,3,True,True
16,397,3,True,True
17,378,5,True,True
18,230,2,False,False
