factor,n,p_value,spearman_rho
local_feature_count,139,1.3617855180644893e-06,0.39638746346716064
evaluated_hypothesis_count,139,0.3835592449138331,0.07447737181923413
cluster_size,139,0.4108639807536816,0.07030134531533097
correspondence_count,139,0.25357080724584996,-0.09748882641663345
selected_fraction,139,3.313332575397747e-09,-0.47550431292965045
terrain_mae_m,139,2.0765538523907432e-07,0.4233433129272979
overlap,139,nan,nan
correspondence_xy_rmse_m,139,0.02542646882899519,0.18954823718664818
correspondence_z_rmse_m,139,0.0021897242580988666,0.2577416327807319
heading_error_deg,139,0.014965627785761512,0.206023504178024
median_sigma_z_m,139,0.6021329555886819,0.04459984807185307
median_feature_range_m,139,0.000626691411982526,0.28654350791329813
