site,valid_grid_cells,feature_count,has_three_features,has_noncollinear_triplet
1,718,13,True,True
2,641,11,True,True
3,1066,14,True,True
4,529,7,True,True
5,564,7,True,True
6,1264,17,True,True
7,577,4,True,True
8,412,1,False,False
9,364,1,False,False
10,608,4,True,True
11,662,6,True,True
12,825,12,True,True
13,747,9,True,True
14,937,15,True,True
15,818,10,True,True
16,333,8,True,True
17,547,7,True,True
18,620,11,True,True
19,336,11,True,True
20,700,13,True,True
21,416,8,True,True
22,514,7,True,True
23,601,15,True,True
24,844,3,True,True
25,674,4,True,True
26,562,10,True,True
27,653,13,True,True
28,792,17,True,True
