estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,heading_error_deg,initial_heading_deg,initial_source,initial_x_m,initial_y_m,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
-0.28009870950046833,-449.060833253332,-163.47915806267204,8.80654263496399,0.007894832262097185,-1.4869024416265035,ransac,-446.1472232050729,-161.21950557823067,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,477.8871905943015,9.302198112010956
-1.7464576142464332,-536.624935551082,-556.6226443543035,7.46148157119751,0.18541713431882784,2.836187702768555,darces,-546.1809127189846,-554.9716723991335,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,781.2684176454969,8.2730211019516
-40.876763003255085,22.605634976765952,-12.338044676910684,-0.3374321758747101,0.15856595936922227,-41.73553806648275,ransac,23.595033651729047,-12.309571090703315,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,2.5025534516106083,0.19989803433418274
-64.622706896173,700.1386958175306,638.6275910102717,-15.571085810661316,0.16862804088616729,-63.150201109322744,darces,699.7752070101334,633.9245584036984,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,945.017862173314,13.011502146720886
-147.34546174823961,-471.1938275872337,-191.9024089852083,8.377695322036743,9.63889311246969e-05,-151.31385242626055,darces,-466.44482232408427,-187.76613789850472,5,solution,19.5212345123291,-46.497894287109375,-2.1845808029174805,511.80440117877794,10.562276124954224
-149.0762937821267,-0.547047735585598,-59.615511792272855,0.06081271171569824,0.1807224603301713,-146.97238927341718,ransac,-1.9004111301373143,-62.13081541347708,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,0.720293122705093,0.5151425004005432
-109.15518982619328,713.3000832993641,611.2888818748896,-16.267663598060608,0.12080953878302225,-108.25756307538975,darces,710.0976290086945,606.1727902425607,7,solution,-8.252805709838867,-83.77835845947266,-1.3806068897247314,1001.8767589996054,14.887056708335876
,,,,,,none,,,8,feature_pose_unavailable,-11.781176567077637,-93.33480834960938,-2.9016098976135254,,
,,,,,,none,,,9,feature_pose_unavailable,-18.610734939575195,-138.35015869140625,-2.200972080230713,,
,,,,,,none,,,10,feature_pose_unavailable,-23.69623565673828,-150.10791015625,-0.596463680267334,,
-110.46976333352376,-330.2405756517884,-206.07491876167296,7.056432664394379,0.0686439125800656,-112.61986494804043,darces,-331.28205128205127,-206.4102564102564,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,308.04510549772124,7.09553200006485
-95.82652886273888,203.40288945557194,402.53260543840577,-1.5752236247062683,0.1152520255408179,-97.69605172201656,darces,203.36375711458015,400.8947787197489,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,621.289309208292,2.8158612847328186
-99.72335489405836,-483.5999760622688,-424.6827423268378,11.602622389793396,0.07022935137140733,-95.99252744787896,darces,-478.31451457944013,-425.5152512719882,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,505.9767010509593,8.826566100120544
,,,,,,none,,,14,feature_pose_unavailable,-50.64036178588867,-224.77685546875,3.8478145599365234,,
148.09697424321416,-541.1246722399321,-529.8532008781634,8.659891307353973,0.3519339649779629,142.5714884569366,ransac,-535.5399834254757,-524.3016693933779,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,750.0771922566911,8.488375723361969
-138.47378368310754,-194.46496566453303,-248.82891366269453,5.699037790298462,0.07877502834206125,-141.48811511651053,darces,-201.39377666396396,-255.34917074604874,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,76.81534732580812,0.5187499523162842
,,,,,,none,,,17,feature_pose_unavailable,-102.15924835205078,-266.02862548828125,3.638662815093994,,
-139.01994158171303,918.993504046407,615.2865056728008,-15.740832805633545,0.10388745883561668,-139.23374675268127,darces,919.7283513930539,619.9907598110029,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,1386.9720829349028,21.017955780029297
,,,,,,none,,,19,feature_pose_unavailable,-162.78665161132812,-310.0521240234375,5.476531028747559,,
-137.3984732463214,-594.4913969484974,-475.4283610011424,12.25670838356018,0.37846605416707746,-139.55216336999243,darces,-592.6684077843468,-478.000405135602,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,423.42150928894546,5.376508474349976
,,,,,,none,,,21,feature_pose_unavailable,-211.0142364501953,-352.2628173828125,5.4391608238220215,,
,,,,,,none,,,22,feature_pose_unavailable,-236.06866455078125,-371.45111083984375,5.889065742492676,,
-159.362963069886,-248.4121365921438,-374.44740625088366,6.820131540298462,0.42068733595122115,-160.59637426214428,darces,-249.9911800503685,-378.8587207876306,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,5.378496903133353,0.42557549476623535
,,,,,,none,,,24,feature_pose_unavailable,-279.89703369140625,-394.0205078125,5.653914928436279,,
,,,,,,none,,,25,feature_pose_unavailable,-301.57952880859375,-399.9701232910156,3.864340305328369,,
,,,,,,none,,,26,feature_pose_unavailable,-312.87744140625,-352.31488037109375,5.095863342285156,,
165.0543905900029,-206.30993636502154,-153.02129042141894,3.817875862121582,0.18125337358149696,162.9487381444465,darces,-205.01925528525342,-154.57968320275586,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,238.70222359816887,2.2519187927246094
-146.31758999447786,-438.0100067308447,-259.4378721524853,7.843842595815659,0.11932706249090543,-150.66378352404791,darces,-435.55410509704643,-261.85627921987935,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,112.92493581014057,0.9017020165920258
