fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_measurement_deg,local_feature_count,runtime_s,site,status
raw_lidar_xy_decimated,860,5.0,0.04252251845663024,13,0.09313610999379307,157,no_solution
raw_lidar_xy_decimated,841,5.0,-0.10491516470180341,14,0.11557519598864019,158,no_solution
raw_lidar_xy_decimated,802,5.0,0.03438748729898099,16,0.19414108600176405,159,no_solution
raw_lidar_xy_decimated,805,5.0,-0.9253907114125379,12,0.09424107300583273,161,no_solution
raw_lidar_xy_decimated,800,5.0,-1.007605617047581,14,0.1152617019979516,162,no_solution
raw_lidar_xy_decimated,765,5.0,-51.6079892466221,13,0.06763635300740134,164,no_solution
raw_lidar_xy_decimated,753,5.0,-47.749698636822885,11,0.02485679800156504,165,no_solution
raw_lidar_xy_decimated,703,5.0,-27.649919026529766,13,0.07457643299130723,168,no_solution
raw_lidar_xy_decimated,707,5.0,0.11832103500359865,12,0.08161369799927343,169,no_solution
raw_lidar_xy_decimated,790,5.0,-0.22209378960778053,10,0.03313267999328673,172,no_solution
raw_lidar_xy_decimated,1088,5.0,-47.31333153584155,12,0.06259251499432139,175,no_solution
raw_lidar_xy_decimated,1170,5.0,-44.92199332715446,22,0.5229608020017622,177,no_solution
raw_lidar_xy_decimated,1054,5.0,-45.158954144236574,14,0.10989531100494787,180,no_solution
raw_lidar_xy_decimated,1080,5.0,-45.05965179376306,14,0.10664977399574127,181,no_solution
raw_lidar_xy_decimated,918,5.0,-1.3980974349744029,13,0.06736356699548196,187,no_solution
raw_lidar_xy_decimated,866,5.0,-45.04879182873569,13,0.04463131599186454,194,no_solution
raw_lidar_xy_decimated,770,5.0,-44.63189395561606,8,0.014656052007921971,195,no_solution
raw_lidar_xy_decimated,692,5.0,-19.755018122705007,13,0.13365137799701188,198,no_solution
raw_lidar_xy_decimated,625,5.0,-43.35935116504697,15,0.12560943799326196,199,no_solution
raw_lidar_xy_decimated,639,5.0,-51.920002781545676,19,0.37045692300307564,200,no_solution
raw_lidar_xy_decimated,849,5.0,-17.736053185170473,12,0.08222260500770062,201,no_solution
raw_lidar_xy_decimated,792,5.0,-25.06032227546084,15,0.1603607010038104,203,no_solution
raw_lidar_xy_decimated,823,5.0,-53.63188288352155,14,0.17432043798908126,204,no_solution
raw_lidar_xy_decimated,970,5.0,-44.58542508273986,14,0.11204534099670127,208,no_solution
raw_lidar_xy_decimated,977,5.0,-44.493046080957896,19,0.3237232249957742,209,no_solution
raw_lidar_xy_decimated,974,5.0,-45.004129897932444,29,1.2392765469994629,211,no_solution
raw_lidar_xy_decimated,993,5.0,-45.226195919365196,12,0.09816088300431147,212,no_solution
raw_lidar_xy_decimated,989,5.0,-45.1445106478819,14,0.04688879101013299,213,no_solution
raw_lidar_xy_decimated,964,5.0,-45.24332247813931,9,0.02475669700652361,215,no_solution
raw_lidar_xy_decimated,924,5.0,-44.923426990035885,17,0.1324738129915204,216,no_solution
raw_lidar_xy_decimated,857,5.0,4.497228635513646,11,0.06940775299153756,218,no_solution
raw_lidar_xy_decimated,803,5.0,2.5919917269129797,21,0.41567767500237096,219,no_solution
raw_lidar_xy_decimated,806,5.0,-27.5843840814309,19,0.4174769520031987,221,no_solution
raw_lidar_xy_decimated,856,5.0,-48.255786660187866,16,0.14360745399608277,223,no_solution
raw_lidar_xy_decimated,808,5.0,-45.19400440486166,20,0.35699887400551233,224,no_solution
raw_lidar_xy_decimated,838,5.0,-44.54586364835258,18,0.2566134780063294,226,no_solution
raw_lidar_xy_decimated,904,5.0,-45.19576653348243,20,0.5148375470016617,227,no_solution
raw_lidar_xy_decimated,728,5.0,-44.192601779328875,17,0.2340391010075109,238,no_solution
raw_lidar_xy_decimated,774,5.0,-95.901946483427,13,0.060688347002724186,242,no_solution
raw_lidar_xy_decimated,680,5.0,-137.16893425185307,10,0.04389729700051248,244,no_solution
raw_lidar_xy_decimated,818,5.0,-164.5539115510065,6,0.005992008998873644,250,no_solution
raw_lidar_xy_decimated,962,5.0,-63.83204717351927,9,0.026235470999381505,253,no_solution
