heading_error_deg,initial_source,site,stage_to_dem_vertical_offset_m,status,truth_x_m,truth_y_m,truth_z_m,truth_z_stage_m,xy_error_m,z_error_m
,none,146,-1006.809,feature_pose_unavailable,780.463971005742,-5489.005970495998,-997.0502507005904,9.758749299409565,,
,none,147,-1006.809,feature_pose_unavailable,781.4605459363681,-5489.001590655576,-996.8607800671828,9.948219932817228,,
,none,149,-1006.809,feature_pose_unavailable,783.4506355065046,-5488.992372245736,-996.4280819350282,10.380918064971784,,
,none,150,-1006.809,feature_pose_unavailable,784.4605387228094,-5488.993333644493,-996.2057305723716,10.603269427628359,,
,none,151,-1006.809,feature_pose_unavailable,785.4510577359393,-5488.996752682305,-996.0019560753086,10.807043924691307,,
,none,156,-1006.809,feature_pose_unavailable,790.4961308194479,-5488.992053323246,-995.096493310575,11.712506689424877,,
,none,157,-1006.809,feature_pose_unavailable,791.5145972384942,-5488.9883807774795,-994.945164583863,11.863835416137057,,
,none,158,-1006.809,feature_pose_unavailable,792.5249376405873,-5488.981243733909,-994.801204552436,12.007795447563868,,
,none,159,-1006.809,feature_pose_unavailable,793.5140255398549,-5488.979286063395,-994.64736621451,12.161633785489945,,
,none,161,-1006.809,feature_pose_unavailable,795.5158100217254,-5488.969733478925,-994.3091357805397,12.499864219460243,,
,none,162,-1006.809,feature_pose_unavailable,796.5135878585855,-5488.962667985149,-994.1390333083408,12.669966691659146,,
,none,164,-1006.809,feature_pose_unavailable,798.1523353877491,-5490.032735647082,-993.770389705024,13.038610294976053,,
,none,165,-1006.809,feature_pose_unavailable,798.7891748082674,-5490.833600551593,-993.6473051865089,13.161694813491083,,
,none,168,-1006.809,feature_pose_unavailable,800.9328210951752,-5492.936402056335,-993.2200791012162,13.58892089878374,,
,none,169,-1006.809,feature_pose_unavailable,801.92467838996,-5493.121168189675,-993.0211090609979,13.787890939002123,,
,none,172,-1006.809,feature_pose_unavailable,804.9248989024969,-5492.968237410051,-992.4277429462467,14.381257053753254,,
,none,175,-1006.809,feature_pose_unavailable,807.6915708713464,-5493.620771683828,-991.7966754116858,15.012324588314158,,
,none,177,-1006.809,feature_pose_unavailable,809.0881983619931,-5495.1377861781075,-991.4232709950298,15.385729004970145,,
,none,180,-1006.809,feature_pose_unavailable,811.2403138368866,-5497.237748880063,-991.1009066403366,15.708093359663426,,
