estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,-0.396778833791632,-446.308273385734,-159.82811284089658,8.49218475818634,,-0.6343492692203712,0.009492018191554319,raw_lidar_xy_decimated,614,5.0,0.12457495655326056,1.0,RANSAC terrain fitness improvement was below threshold,False,0.005686363001586869,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,474.05826261706454,8.987840235233307
darces,2.836187702768557,-546.1809127189846,-554.9716723991335,7.463585376739502,,-0.8402087110532114,-0.04820793108043331,raw_lidar_xy_decimated,547,5.0,4.768062451333805,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0066399860006640665,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,786.847518662521,8.275124907493591
darces,-37.40535663140856,-495.7493776646562,-283.6958672661458,9.506296396255493,,-0.7826588557345544,-0.010617468197829827,raw_lidar_xy_decimated,935,5.0,3.3128404124773,1.0,RANSAC terrain fitness improvement was below threshold,False,0.012860414004535414,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,587.2294594649803,10.043626606464386
darces,-63.150201109322744,699.7752070101334,633.9245584036984,-15.571349024772644,,-0.640822603273662,-0.003363559074149425,raw_lidar_xy_decimated,465,5.0,1.6411338277364393,1.0,RANSAC terrain fitness improvement was below threshold,False,0.005911259002459701,4,solution,36.56502151489258,-34.223609924316406,-2.5595836639404297,941.4189954450212,13.011765360832214
darces,-151.31385242626055,-466.44482232408427,-187.76613789850475,8.379233121871948,,-0.7662827160548995,-0.04823234779375063,raw_lidar_xy_decimated,493,5.0,3.968294289089812,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0033470249982201494,5,solution,19.5212345123291,-46.497894287109375,-2.1845808029174805,506.0827255006643,10.563813924789429
ransac,-146.97238927341718,-1.9004111301373072,-62.130815413477066,0.06268537044525146,,-0.2016694975483594,0.02419314549304677,raw_lidar_xy_decimated,1102,5.0,2.2846269690396923,1.0,,False,0.006113593000918627,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,3.2420392645408773,0.5170151591300964
none,,,,,DARCES has no pose estimate,,,,,,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,10,darces_unavailable,,,,,
darces,-112.61986494804043,-331.28205128205127,-206.4102564102564,7.0568727850914,,-1.062641410403971,-0.0007816973997905041,raw_lidar_xy_decimated,595,5.0,2.0814577019366425,1.0,RANSAC terrain fitness improvement was below threshold,False,0.006088968999392819,11,solution,-26.17138671875,-156.74221801757812,-0.03909933567047119,309.12688603231504,7.095972120761871
darces,-97.69605172201656,203.36375711458018,400.8947787197489,-1.5712082982063293,,-0.8901414480778972,-0.05437472992681536,raw_lidar_xy_decimated,712,5.0,1.9847748848184779,1.0,exactly three correspondences cannot be outlier-tested,False,0.0009640540010877885,12,minimal_unverified,-27.199756622314453,-174.37538146972656,1.2406376600265503,619.7542182761873,2.8118459582328796
none,,,,,DARCES has no pose estimate,,,,,,,,,,,13,darces_unavailable,,,,,
darces,-135.78678396895492,248.56633402505028,582.2288084171882,0.2783616781234741,,-1.5174903115074714,-0.17590146500838677,raw_lidar_xy_decimated,807,5.0,3.845822602835028,1.0,RANSAC terrain fitness improvement was below threshold,False,0.00606195000000298,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,860.6873929378097,3.5694528818130493
ransac,142.5714884569366,-535.5399834254758,-524.3016693933778,8.660060822963715,,-0.7572090509964056,0.040577635511530596,raw_lidar_xy_decimated,702,5.0,5.877419751255502,1.0,,False,0.012229496998770628,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,742.2034001811402,8.48854523897171
none,,,,,DARCES has no pose estimate,,,,,,,,,,,16,darces_unavailable,,,,,
