cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,feature_count_npz,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,log10_hypotheses,median_abs_elevation_angle_deg,median_feature_range_m,median_sigma_z_m,moga_delta_error_m,moga_xy_error_m,overlap,profile,ransac_delta_error_m,ransac_xy_error_m,runtime_s,selected_fraction,site,status,terrain_mae_m,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
,,,,,,,,,,,,,,2,,,,,,-89.61315627663696,2,0.0,2.360496302086237,33.30591691204904,0.5899139911743125,nan,nan,,0p25m,nan,nan,,0.0,223,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-89.96540022538525,2,0.0,2.558511754453202,28.99396611852571,0.6023484648711404,nan,nan,,0p25m,nan,nan,,0.0,229,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-89.92719279074173,1,0.0,3.5371485031665033,21.275719729306456,0.68185458000413,nan,nan,,0p25m,nan,nan,,0.0,246,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-108.2797641414029,1,0.0,3.948181372561617,18.08746112642678,0.7196848705983037,nan,nan,,0p25m,nan,nan,,0.0,249,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-83.38405818384007,1,0.0,4.384135055430885,16.078906990215472,0.7619909896867866,nan,nan,,0p25m,nan,nan,,0.0,252,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-89.6620544642588,1,0.0,4.828301787157217,14.710752869924775,0.8070638843370902,nan,nan,,0p25m,nan,nan,,0.0,258,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-89.98398465894618,1,0.0,5.279907527585206,17.04497726604527,0.854628244720578,nan,nan,,0p25m,nan,nan,,0.0,273,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-179.99753926075917,1,0.0,2.8532918904597797,38.482544744338306,0.6242831896915696,nan,nan,,0p25m,nan,nan,,0.0,313,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-179.99432090327997,1,0.0,2.5747429395660735,39.59048181065747,0.6031122488506776,nan,nan,,0p25m,nan,nan,,0.0,316,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-179.99612592180463,1,0.0,2.1544650140628367,43.34635221099926,0.5741164008224459,nan,nan,,0p25m,nan,nan,,0.0,317,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,179.99510632811723,1,0.0,2.475260870811711,42.37960889390085,0.5959142722110377,nan,nan,,0p25m,nan,nan,,0.0,326,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,179.90998684115812,2,0.0,2.6261952736714007,34.7253637163955,0.6069422613192061,nan,nan,,0p25m,nan,nan,,0.0,330,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,179.83515729274612,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,347,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-179.8771279070793,1,0.0,2.9194613430979497,12.758575547450429,0.6295211049778984,nan,nan,,0p25m,nan,nan,,0.0,350,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,179.80700288565973,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,355,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,179.85029842598993,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,362,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,30733,0.125,,179.93080235840745,3,0.0,3.070967861641338,14.121127787822047,0.6417982149758296,nan,nan,,0p25m,nan,nan,0.11647610500222072,0.0,397,no_solution,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,179.93377795978506,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,398,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,179.79458773470787,2,0.0,3.0146999125612775,15.483480971125786,0.6417282583317371,nan,nan,,0p25m,nan,nan,,0.0,399,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,-179.8376581917038,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,402,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,179.97030065904426,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,405,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,179.86030818737603,0,0.0,nan,nan,nan,nan,nan,,0p25m,nan,nan,,0,425,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.016074124752462313,1,0.0,2.535877211280841,23.347912112221085,0.6002765247484911,nan,,,0p5m,nan,nan,,0.0,2,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,2.8178919137656173,0,0.0,nan,nan,nan,nan,,,0p5m,nan,nan,,0,9,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-1.1715860802315958,1,0.0,3.0272575680886797,20.763549792846117,0.6382165054644401,nan,,,0p5m,nan,nan,,0.0,10,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-1.3325228097069708,1,0.0,2.933623628256689,21.49709282670566,0.6306521415143546,nan,,,0p5m,nan,nan,,0.0,12,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.656672489798474,1,0.0,2.4223991707069494,31.13880216064838,0.5921712917222937,nan,,,0p5m,nan,nan,,0.0,20,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.10589940185594611,2,0.0,2.473564336566258,25.424980960433295,0.5978406464463003,nan,,,0p5m,nan,nan,,0.0,26,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,0,,,,,,-0.06391904233262571,0,0.0,nan,nan,nan,nan,,,0p5m,nan,nan,,0,36,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,0.051932943314520294,1,0.0,1.4622749333080376,39.1806712550972,0.5354009870314667,nan,,,0p5m,nan,nan,,0.0,48,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,3,,raw_lidar_xy_decimated,15019,0.25,,-4.3289440250794025,3,0.0,1.7707453835979312,36.96789147354769,0.5511450325282443,nan,,,0p5m,nan,nan,0.4962578859995119,0.0,51,no_solution,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.2337594858298045,2,0.0,1.7992118827716288,34.6416799036299,0.5540768304715415,nan,,,0p5m,nan,nan,,0.0,54,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,-0.07384324607228306,2,0.0,1.1868312405463302,28.885347422455673,0.5266090532985466,nan,,,0p5m,nan,nan,,0.0,77,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,0.035239910434854374,1,0.0,3.0372722648749213,16.405029716522918,0.6390343273002741,nan,,,0p5m,nan,nan,,0.0,89,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,2,,,,,,0.1906701993705456,2,0.0,2.0025823578273867,37.486792531881406,0.5683295842371631,nan,,,0p5m,nan,nan,,0.0,95,skipped_insufficient_features,nan,,,,,
,,,,,,,,,,,,,,1,,,,,,-0.16328789087285003,1,0.0,2.568996650407467,28.082467840273583,0.6026911011800877,nan,,,0p5m,nan,nan,,0.0,103,skipped_insufficient_features,nan,,,,,
