abs_elevation_angle_deg,darces_status,feature,profile,range_m,selected,sigma_z_m,site
2.508429894214113,skipped_insufficient_features,0,0p25m,23.617392955193,0,0.5982920833155225,2
3.046049661402555,skipped_insufficient_features,0,0p25m,20.63446752402397,0,0.6397524826521229,10
2.948044215079793,skipped_insufficient_features,0,0p25m,21.392901860196528,0,0.6318073742845995,12
2.552151898975437,skipped_insufficient_features,0,0p25m,29.298570784254988,0,0.6014603079501365,20
2.7264892811313297,skipped_insufficient_features,0,0p25m,24.74936867881684,0,0.6144654006324213,26
2.038941077785149,skipped_insufficient_features,1,0p25m,27.978228142611176,0,0.5668280733283241,26
2.8017152650374237,skipped_insufficient_features,0,0p25m,19.102519467337288,0,0.6202544773622621,51
2.060663024589891,skipped_insufficient_features,0,0p25m,21.187407816908607,0,0.5681747468569817,54
3.1110122126710795,skipped_insufficient_features,0,0p25m,16.05167436749201,0,0.6451071312028502,89
2.5155606517990203,skipped_insufficient_features,0,0p25m,24.71651775635071,0,0.598806180699107,95
2.584993979970357,skipped_insufficient_features,0,0p25m,27.908891952207632,0,0.6038651675375322,103
2.578590791430168,skipped_insufficient_features,0,0p25m,38.55718156193473,0,0.6033946234387996,117
1.712572602530133,skipped_insufficient_features,0,0p25m,26.26130708856663,0,0.5479821901552704,178
2.692983177656209,skipped_insufficient_features,0,0p25m,22.50069443372804,0,0.6119207584240097,194
1.803638216537471,skipped_insufficient_features,0,0p25m,33.58803730496916,0,0.5529719887784933,196
2.9836275442892823,skipped_insufficient_features,1,0p25m,20.053833798054676,0,0.634673233143797,196
2.8577702719394806,no_solution,0,0p25m,32.32887641103538,0,0.624635252475563,200
2.185176949874236,no_solution,1,0p25m,30.13770478984755,0,0.5761056418172835,200
3.135465963894665,no_solution,2,0p25m,19.8470715724008,0,0.6471405826336668,200
2.3382415769827216,skipped_insufficient_features,0,0p25m,32.19714661270467,0,0.586332742333365,204
2.07649921412459,skipped_insufficient_features,1,0p25m,22.978930566934572,0,0.5691635181064533,204
1.5888619932644257,skipped_insufficient_features,0,0p25m,29.243054730995528,0,0.5415519461009753,210
1.9213108075386858,skipped_insufficient_features,0,0p25m,44.43851088864252,0,0.559731357179201,223
2.799681796633788,skipped_insufficient_features,1,0p25m,22.17332293545557,0,0.6200966251694241,223
2.351741069830519,skipped_insufficient_features,0,0p25m,35.18922065064812,0,0.587259186214711,229
2.765282439075885,skipped_insufficient_features,1,0p25m,22.7987115864033,0,0.6174377435275699,229
3.5371485031665033,skipped_insufficient_features,0,0p25m,21.275719729306456,0,0.68185458000413,246
3.948181372561617,skipped_insufficient_features,0,0p25m,18.08746112642678,0,0.7196848705983037,249
4.384135055430885,skipped_insufficient_features,0,0p25m,16.078906990215472,0,0.7619909896867866,252
4.828301787157217,skipped_insufficient_features,0,0p25m,14.710752869924775,0,0.8070638843370902,258
5.279907527585206,skipped_insufficient_features,0,0p25m,17.04497726604527,0,0.854628244720578,273
2.8532918904597797,skipped_insufficient_features,0,0p25m,38.482544744338306,0,0.6242831896915696,313
2.5747429395660735,skipped_insufficient_features,0,0p25m,39.59048181065747,0,0.6031122488506776,316
2.1544650140628367,skipped_insufficient_features,0,0p25m,43.34635221099926,0,0.5741164008224459,317
2.475260870811711,skipped_insufficient_features,0,0p25m,42.37960889390085,0,0.5959142722110377,326
2.6820381247531184,skipped_insufficient_features,0,0p25m,44.947538864769896,0,0.6110941151750667,330
2.570352422589683,skipped_insufficient_features,1,0p25m,24.503188568021102,0,0.6027904074633456,330
2.9194613430979497,skipped_insufficient_features,0,0p25m,12.758575547450429,0,0.6295211049778984,350
3.8146519964199683,no_solution,0,0p25m,12.20271486186578,0,0.7071604428523198,397
3.070967861641338,no_solution,1,0p25m,14.121127787822047,0,0.6417982149758296,397
2.010885335219959,no_solution,2,0p25m,19.74287846287871,0,0.5651052607144033,397
3.7476216427964157,skipped_insufficient_features,0,0p25m,13.025215929112269,0,0.7009562312129624,399
2.2817781823261396,skipped_insufficient_features,1,0p25m,17.9417460131393,0,0.5825002854505118,399
2.535877211280841,skipped_insufficient_features,0,0p5m,23.347912112221085,0,0.6002765247484911,2
3.0272575680886797,skipped_insufficient_features,0,0p5m,20.763549792846117,0,0.6382165054644401,10
2.933623628256689,skipped_insufficient_features,0,0p5m,21.49709282670566,0,0.6306521415143546,12
2.4223991707069494,skipped_insufficient_features,0,0p5m,31.13880216064838,0,0.5921712917222937,20
2.9209176650066184,skipped_insufficient_features,0,0p5m,22.69636534778201,0,0.6296372498986267,26
2.026211008125898,skipped_insufficient_features,1,0p5m,28.153596573084585,0,0.5660440429939739,26
1.4622749333080376,skipped_insufficient_features,0,0p5m,39.1806712550972,0,0.5354009870314667,48
1.7707453835979312,no_solution,0,0p5m,49.331784885609,0,0.5511450325282443,51
1.709070848396533,no_solution,1,0p5m,36.96789147354769,0,0.5477946078230488,51
2.8068111965546656,no_solution,2,0p5m,19.068953825524883,0,0.6206503895445121,51
1.4733865515974185,skipped_insufficient_features,0,0p5m,48.68906448064082,0,0.5359231664449781,54
2.125037213945839,skipped_insufficient_features,1,0p5m,20.594295326618973,0,0.5722304944981049,54
1.6369193606621792,skipped_insufficient_features,0,0p5m,28.993533761858004,0,0.5440014605602718,77
0.7367431204304808,skipped_insufficient_features,1,0p5m,28.777161083053347,0,0.5092166460368214,77
3.0372722648749213,skipped_insufficient_features,0,0p5m,16.405029716522918,0,0.6390343273002741,89
1.444324299078726,skipped_insufficient_features,0,0p5m,50.89818267875583,0,0.5345647200172755,95
2.560840416576047,skipped_insufficient_features,1,0p5m,24.075402385006985,0,0.6020944484570506,95
2.568996650407467,skipped_insufficient_features,0,0p5m,28.082467840273583,0,0.6026911011800877,103
