resolution,total_sites,solved_sites,minimum_xy_error_m,p10_xy_error_m,p25_xy_error_m,median_xy_error_m,mean_xy_error_m,std_xy_error_m,p75_xy_error_m,p90_xy_error_m,maximum_xy_error_m,darces_selected,ransac_selected,moga_selected
0p25m,28,0,,,,,,,,,,0,0,0
0p5m,28,7,1.8274952997629508,1.9215996887715099,2.4430712666980465,4.1972293321164855,244.15795816686517,462.5875643516289,176.31358835466037,731.4217807989301,1345.5676632934599,0,5,2
1m,28,16,0.2691737727989852,1.4428354973142508,2.303087639901082,225.31728109770182,344.9338482300934,421.8885046775904,596.4214416492531,904.1005804374031,1432.6203524880948,0,9,7
2m,28,18,1.9950932345260142,2.927665983566897,3.4072244319232152,67.28393726250476,243.46770305721975,289.973788960673,444.72120428294846,581.1758128639797,953.4803512086344,2,8,8
5m,28,21,0.9602476430203384,2.0314721687492296,2.573608558582236,4.9613443497339444,151.68112089188543,226.01401257265755,233.00839103392886,492.30819269227726,666.113486188332,0,13,8
10m,28,17,0.46791885673236233,4.000695960087103,7.015112439433645,498.3051487655274,467.9180065731496,407.5462486169654,774.5559689328395,958.198036485079,1152.730190488434,2,9,6
