estimate_source,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,fallback_reason,fitness,fitness_improvement_m,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,overlap,preservation_reason,ransac_rejected_outlier,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
darces,2.216437207494056,-2.626480164892442,-3.716403723447801,0.0024023056030273438,,-0.15466031727838478,-0.07341875032921921,raw_lidar_xy_decimated,1403,2.5,2.4886410847324214,1.0,RANSAC terrain fitness improvement was below threshold,False,0.03629469498991966,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,4.547004607877462,0.4980577826499939
darces,2.7565568715365205,9.654558703730657,0.2949474912283776,-0.23071584105491638,,-0.23812828926454369,-0.4049541362667458,raw_lidar_xy_decimated,1272,2.5,4.688431620101767,1.0,RANSAC terrain fitness improvement was below threshold,False,0.012716540994006209,2,solution,12.267229080200195,-0.6570590734481812,-0.8115395307540894,2.7807126775826263,0.580823689699173
darces,-41.08550245550124,22.256318313739257,-12.312235540081492,0.019384145736694336,,-0.188696224875547,-0.04625455888076621,raw_lidar_xy_decimated,2301,2.5,0.36730541161540486,1.0,RANSAC terrain fitness improvement was below threshold,False,0.027104977998533286,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,2.6795758446772235,0.5567143559455872
darces,-67.74038366782733,761.7766811479456,789.9944145185002,-13.223434686660767,,-0.7319122547120848,0.0,raw_lidar_xy_decimated,1204,2.5,2.9490487307681406,1.0,exactly three correspondences cannot be outlier-tested,False,0.0011343459918862209,4,minimal_unverified,36.56502151489258,-34.223609924316406,-2.5595836639404297,1097.8466664722114,10.663851022720337
darces,-147.6055773543846,-555.2339086499437,-565.5598952106425,7.687711000442505,,-0.7972191901225149,-0.03930717516910398,raw_lidar_xy_decimated,1238,2.5,0.260019217213852,1.0,RANSAC terrain fitness improvement was below threshold,False,0.013596899996628053,5,solution,19.5212345123291,-46.497894287109375,-2.1845808029174805,774.4474387550305,9.872291803359985
darces,-147.65137223856453,-3.036245936652083,-59.581858304874444,0.08753776550292969,,-0.14672246912252881,-0.07526723217977663,raw_lidar_xy_decimated,2826,2.5,1.605644003892337,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0157276170066325,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,2.146322005935037,0.5418675541877747
none,,,,,DARCES has no pose estimate,,,,,,,,,,,7,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,8,darces_unavailable,,,,,
none,,,,,DARCES has no pose estimate,,,,,,,,,,,9,darces_unavailable,,,,,
darces,-107.82917294806911,543.5822370990116,467.4119077358863,-10.580290913581848,,-0.9425361964382978,-0.007017742989716913,raw_lidar_xy_decimated,1622,2.5,3.8962354889636686,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0029883719980716705,10,solution,-23.69623565673828,-150.10791015625,-0.596463680267334,838.5318068753464,9.983827233314514
none,,,,,DARCES has no pose estimate,,,,,,,,,,,11,darces_unavailable,,,,,
darces,-98.76261553467299,-24.841504762042913,-177.0420451481836,1.4745717644691467,,-0.43851414920529463,-0.09202607281207609,raw_lidar_xy_decimated,1756,2.5,3.0513386974749324,1.0,RANSAC terrain fitness improvement was below threshold,False,0.002896209989557974,12,solution,-27.199756622314453,-174.37538146972656,1.2406376600265503,3.559838059585888,0.23393410444259644
darces,-97.20806632207378,-215.67677387460654,-275.12849724495476,7.746545314788818,,-1.0376412893835674,-0.0028299870472199284,raw_lidar_xy_decimated,1496,2.5,2.5855179233559795,1.0,exactly three correspondences cannot be outlier-tested,False,0.0010551559971645474,13,minimal_unverified,-30.75284194946289,-198.97962951660156,2.7760562896728516,199.98877632248613,4.970489025115967
darces,-131.6111393480903,-422.95385458276803,203.18914066522518,12.903483986854553,,-1.6629496446574634,0.0012739760255746635,raw_lidar_xy_decimated,1827,2.5,0.32982201802960276,1.0,RANSAC terrain fitness improvement was below threshold,False,0.07327658399299253,14,solution,-50.64036178588867,-224.77685546875,3.8478145599365234,567.2497075940697,9.05566942691803
darces,147.3484858838508,-8.687416643290351,5.405185919488815,0.738220751285553,,-0.1885292936929488,-0.02001551806550786,raw_lidar_xy_decimated,1607,2.5,1.1004223243413094,1.0,RANSAC terrain fitness improvement was below threshold,False,0.025342544991872273,15,solution,-16.422508239746094,6.153733253479004,0.1715155839920044,7.771226744651327,0.5667051672935486
ransac,-136.09003540589495,386.02925193145614,532.0258353820238,-5.336925745010376,,-0.6341436606213039,0.010910599152979539,raw_lidar_xy_decimated,719,2.5,2.3049732488705104,1.0,,False,0.005713072998332791,16,solution,-178.57537841796875,-323.9828796386719,6.217787742614746,1025.441031363283,11.554713487625122
darces,-140.15558431740624,-351.751982229139,-357.6719814853997,10.194965362548828,,-3.6972411332472728,0.0,raw_lidar_xy_decimated,1370,2.5,2.8650057789579932,1.0,exactly three correspondences cannot be outlier-tested,False,0.0010546269913902506,17,minimal_unverified,-102.15924835205078,-266.02862548828125,3.638662815093994,265.88538414635275,6.556302547454834
ransac,-140.64474842397573,885.8107624815328,677.6242494891849,-15.022311225533485,,-0.7294815357339739,0.03679467989677754,raw_lidar_xy_decimated,1327,2.5,1.520919383427099,0.8764129615674454,,False,0.013965887002996169,18,solution,-131.5979461669922,-290.22393798828125,5.277122974395752,1404.2259769842158,20.299434199929237
darces,-161.40017169116248,-404.1340882364779,-371.710436327627,7.510089695453644,,-0.569550862261624,-0.01676142126850344,raw_lidar_xy_decimated,791,2.5,1.679259283344635,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0024835110089043155,19,solution,-162.78665161132812,-310.0521240234375,5.476531028747559,249.09904183222315,2.033558666706085
darces,-139.91924239920587,-191.72043953386847,-337.6412173463392,7.3809075355529785,,-0.11321291098610253,-0.08547860584112982,raw_lidar_xy_decimated,1477,2.5,2.8992352070515324,1.0,RANSAC terrain fitness improvement was below threshold,False,0.013796388011542149,20,solution,-194.00518798828125,-337.96356201171875,6.880199909210205,2.307375475131915,0.5007076263427734
none,,,,,DARCES has no pose estimate,,,,,,,,,,,21,darces_unavailable,,,,,
darces,-152.67105036199203,-234.85511560199404,-369.8730020819434,6.5012407302856445,,-0.0938427598392404,-0.11959869428388203,raw_lidar_xy_decimated,1251,2.5,1.9474716943243777,1.0,RANSAC terrain fitness improvement was below threshold,False,0.013414114000624977,22,solution,-236.06866455078125,-371.45111083984375,5.889065742492676,1.9907607347102971,0.6121749877929688
darces,-156.2429464977688,-238.7418850590753,-245.18965814212788,6.672889471054077,,-0.9511599374712887,-0.22840198101479836,raw_lidar_xy_decimated,1292,2.5,2.6993292361659655,1.0,RANSAC terrain fitness improvement was below threshold,False,0.006162692996440455,23,solution,-252.51278686523438,-377.9277648925781,6.394556045532227,133.45052536520342,0.2783334255218506
none,,,,,DARCES has no pose estimate,,,,,,,,,,,24,darces_unavailable,,,,,
darces,115.28593212312377,-689.1549492554813,-215.09017073502523,15.436053156852722,,-2.3270371764840183,-0.2533971366061869,raw_lidar_xy_decimated,1858,2.5,1.1656576842787558,1.0,RANSAC terrain fitness improvement was below threshold,False,0.0029516479989979416,25,solution,-301.57952880859375,-399.9701232910156,3.864340305328369,429.41274246543605,11.571712851524353
none,,,,,DARCES has no pose estimate,,,,,,,,,,,26,darces_unavailable,,,,,
darces,162.426196099988,596.9069891670827,206.8608505264334,-12.036744475364685,,-0.5519998679751715,-0.447384242352568,raw_lidar_xy_decimated,1244,2.5,2.8094478635963753,1.0,RANSAC terrain fitness improvement was below threshold,False,0.006714746996294707,27,solution,-355.8419494628906,-339.0829162597656,6.069794654846191,1098.0824816712286,18.106539130210876
ransac,-144.95227852960235,-396.98129315457095,-346.729198179209,7.536131858825684,,-0.34279348241206664,0.04237975538840921,raw_lidar_xy_decimated,1524,2.5,1.2459844023846074,1.0,,False,0.007189073003246449,28,solution,-390.8143615722656,-362.02740478515625,6.942140579223633,16.494428468397537,0.5939912796020508
